date,state,district,pincode,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_
03-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,0.0,7.0
03-09-2025,Maharashtra,Thane,400601,6.0,2.0,0.0,2.0,33.0,9.0,35.0
03-09-2025,Maharashtra,Thane,400601,6.0,2.0,0.0,2.0,33.0,9.0,35.0
03-10-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,11.0,44.0
03-11-2025,Maharashtra,Thane,400601,6.0,1.0,0.0,4.0,61.0,44.0,79.0
03-11-2025,Maharashtra,Thane,400601,6.0,1.0,0.0,4.0,61.0,44.0,79.0
03-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,2.0,37.0,37.0,63.0
03-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,2.0,37.0,37.0,63.0
04-09-2025,Maharashtra,Thane,400601,7.0,1.0,0.0,4.0,36.0,10.0,34.0
04-09-2025,Maharashtra,Thane,400601,7.0,1.0,0.0,4.0,36.0,10.0,34.0
04-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,5.0,57.0,0.0,0.0
04-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,3.0,48.0,50.0,38.0
05-06-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,6.0,19.0
05-06-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,6.0,19.0
05-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,6.0,30.0
05-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,6.0,30.0
05-09-2025,Maharashtra,Thane,400601,2.0,0.0,0.0,1.0,13.0,0.0,0.0
05-10-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,13.0,8.0
05-11-2025,Maharashtra,Thane,400601,9.0,0.0,0.0,3.0,22.0,32.0,26.0
05-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,1.0,46.0,53.0,42.0
05-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,1.0,46.0,53.0,42.0
06-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,16.0,49.0
06-09-2025,Maharashtra,Thane,400601,8.0,0.0,0.0,3.0,25.0,13.0,8.0
06-09-2025,Maharashtra,Thane,400601,8.0,0.0,0.0,3.0,25.0,13.0,8.0
06-10-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,19.0,50.0
06-11-2025,Maharashtra,Thane,400601,8.0,1.0,0.0,2.0,53.0,77.0,70.0
06-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,4.0,34.0,0.0,0.0
07-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,10.0,40.0
07-09-2025,Maharashtra,Thane,400601,3.0,1.0,0.0,3.0,10.0,0.0,0.0
07-11-2025,Maharashtra,Thane,400601,8.0,2.0,0.0,5.0,53.0,87.0,95.0
07-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,18.0,1.0,0.0
07-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,18.0,1.0,0.0
08-06-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,5.0,4.0
08-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,11.0,30.0
08-09-2025,Maharashtra,Thane,400601,5.0,2.0,0.0,3.0,36.0,0.0,0.0
08-10-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,21.0,49.0
08-11-2025,Maharashtra,Thane,400601,5.0,0.0,0.0,2.0,36.0,0.0,0.0
08-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,4.0,46.0,41.0,61.0
08-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,4.0,46.0,41.0,61.0
09-06-2025,Maharashtra,Thane,400601,6.0,2.0,0.0,0.0,0.0,14.0,38.0
09-09-2025,Maharashtra,Thane,400601,8.0,3.0,1.0,1.0,45.0,10.0,47.0
09-10-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,19.0,37.0
09-11-2025,Maharashtra,Thane,400601,9.0,0.0,0.0,2.0,14.0,7.0,11.0
09-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,5.0,56.0,62.0,60.0
09-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,5.0,56.0,62.0,60.0
10-06-2025,Maharashtra,Thane,400601,4.0,1.0,0.0,0.0,0.0,18.0,51.0
10-06-2025,Maharashtra,Thane,400601,4.0,1.0,0.0,0.0,0.0,18.0,51.0
10-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,14.0,16.0
10-09-2025,Maharashtra,Thane,400601,7.0,3.0,0.0,7.0,49.0,0.0,0.0
10-10-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,9.0,37.0
10-11-2025,Maharashtra,Thane,400601,12.0,0.0,0.0,1.0,52.0,43.0,69.0
10-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,3.0,42.0,46.0,48.0
11-06-2025,Maharashtra,Thane,400601,10.0,4.0,0.0,0.0,0.0,0.0,0.0
11-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,16.0,25.0
11-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,16.0,25.0
11-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,16.0,47.0
11-09-2025,Maharashtra,Thane,400601,3.0,5.0,0.0,2.0,36.0,30.0,49.0
11-09-2025,Maharashtra,Thane,400601,3.0,5.0,0.0,2.0,36.0,30.0,49.0
11-11-2025,Maharashtra,Thane,400601,7.0,0.0,0.0,5.0,87.0,33.0,81.0
11-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,1.0,50.0,60.0,46.0
12-06-2025,Maharashtra,Thane,400601,5.0,1.0,0.0,0.0,0.0,0.0,0.0
12-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,6.0,31.0
12-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,6.0,31.0
12-09-2025,Maharashtra,Thane,400601,7.0,2.0,0.0,3.0,41.0,0.0,0.0
12-10-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,12.0,13.0
12-11-2025,Maharashtra,Thane,400601,3.0,0.0,1.0,4.0,71.0,37.0,75.0
12-11-2025,Maharashtra,Thane,400601,3.0,0.0,1.0,4.0,71.0,37.0,75.0
12-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,4.0,41.0,37.0,29.0
13-06-2025,Maharashtra,Thane,400601,4.0,1.0,1.0,0.0,0.0,12.0,59.0
13-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,17.0,18.0
13-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,17.0,18.0
13-09-2025,Maharashtra,Thane,400601,7.0,2.0,0.0,2.0,27.0,0.0,0.0
13-10-2025,Maharashtra,Thane,400601,7.0,1.0,0.0,0.0,7.0,19.0,49.0
13-11-2025,Maharashtra,Thane,400601,4.0,1.0,0.0,2.0,56.0,44.0,59.0
13-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,3.0,30.0,55.0,22.0
13-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,3.0,30.0,55.0,22.0
14-06-2025,Maharashtra,Thane,400601,3.0,6.0,0.0,0.0,0.0,18.0,62.0
14-09-2025,Maharashtra,Thane,400601,4.0,1.0,0.0,3.0,13.0,17.0,14.0
14-09-2025,Maharashtra,Thane,400601,4.0,1.0,0.0,3.0,13.0,17.0,14.0
14-11-2025,Maharashtra,Thane,400601,7.0,0.0,0.0,3.0,61.0,0.0,0.0
14-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,1.0,15.0,0.0,0.0
15-06-2025,Maharashtra,Thane,400601,0.0,2.0,0.0,0.0,0.0,0.0,0.0
15-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15-09-2025,Maharashtra,Thane,400601,1.0,4.0,0.0,6.0,30.0,0.0,0.0
15-10-2025,Maharashtra,Thane,400601,1.0,4.0,0.0,6.0,32.0,41.0,61.0
15-11-2025,Maharashtra,Thane,400601,22.0,2.0,0.0,6.0,49.0,0.0,0.0
15-12-2025,Maharashtra,Thane,400601,12.0,0.0,2.0,9.0,44.0,0.0,0.0
16-06-2025,Maharashtra,Thane,400601,4.0,3.0,0.0,0.0,0.0,0.0,0.0
16-09-2025,Maharashtra,Thane,400601,1.0,2.0,0.0,6.0,24.0,38.0,47.0
16-10-2025,Maharashtra,Thane,400601,2.0,0.0,1.0,7.0,45.0,59.0,56.0
16-11-2025,Maharashtra,Thane,400601,13.0,1.0,0.0,0.0,15.0,0.0,0.0
16-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,4.0,43.0,0.0,0.0
17-06-2025,Maharashtra,Thane,400601,3.0,4.0,0.0,0.0,0.0,8.0,45.0
17-09-2025,Maharashtra,Thane,400601,7.0,1.0,0.0,3.0,53.0,49.0,58.0
17-09-2025,Maharashtra,Thane,400601,7.0,1.0,0.0,3.0,53.0,49.0,58.0
17-10-2025,Maharashtra,Thane,400601,15.0,4.0,0.0,3.0,26.0,68.0,42.0
17-11-2025,Maharashtra,Thane,400601,7.0,1.0,0.0,1.0,62.0,27.0,73.0
17-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,3.0,45.0,79.0,67.0
17-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,3.0,45.0,79.0,67.0
18-06-2025,Maharashtra,Thane,400601,2.0,6.0,0.0,0.0,0.0,4.0,37.0
18-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,4.0,23.0
18-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,4.0,23.0
18-09-2025,Maharashtra,Thane,400601,3.0,0.0,0.0,4.0,27.0,56.0,27.0
18-10-2025,Maharashtra,Thane,400601,7.0,0.0,0.0,5.0,21.0,0.0,0.0
18-11-2025,Maharashtra,Thane,400601,10.0,2.0,0.0,1.0,52.0,29.0,69.0
18-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,2.0,45.0,0.0,0.0
19-06-2025,Maharashtra,Thane,400601,4.0,1.0,0.0,0.0,0.0,6.0,41.0
19-06-2025,Maharashtra,Thane,400601,4.0,1.0,0.0,0.0,0.0,6.0,41.0
19-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,26.0,29.0
19-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,9.0,12.0
19-09-2025,Maharashtra,Thane,400601,3.0,2.0,0.0,3.0,35.0,0.0,0.0
19-10-2025,Maharashtra,Thane,400601,7.0,1.0,0.0,6.0,10.0,0.0,0.0
19-11-2025,Maharashtra,Thane,400601,13.0,2.0,0.0,4.0,59.0,63.0,69.0
19-11-2025,Maharashtra,Thane,400601,13.0,2.0,0.0,4.0,59.0,63.0,69.0
19-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,3.0,30.0,51.0,51.0
19-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,3.0,30.0,51.0,51.0
20-05-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,25.0,29.0
20-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,12.0,15.0
20-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,12.0,15.0
20-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,13.0,31.0
20-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,13.0,31.0
20-09-2025,Maharashtra,Thane,400601,3.0,1.0,0.0,4.0,20.0,0.0,0.0
20-10-2025,Maharashtra,Thane,400601,1.0,0.0,0.0,3.0,10.0,9.0,11.0
20-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,7.0,56.0,38.0,75.0
20-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,7.0,56.0,38.0,75.0
20-12-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,1.0,21.0,44.0,45.0
21-06-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,14.0,31.0
21-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,9.0,41.0
21-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,9.0,41.0
21-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,8.0,45.0
21-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,8.0,45.0
21-09-2025,Maharashtra,Thane,400601,1.0,1.0,0.0,0.0,0.0,0.0,0.0
21-10-2025,Maharashtra,Thane,400601,3.0,0.0,0.0,0.0,3.0,0.0,1.0
21-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,2.0,47.0,0.0,0.0
21-12-2025,Maharashtra,Thane,400601,1.0,0.0,0.0,0.0,14.0,0.0,14.0
22-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,17.0,36.0
22-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,14.0,49.0
22-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,14.0,49.0
22-09-2025,Maharashtra,Thane,400601,1.0,2.0,0.0,0.0,0.0,36.0,32.0
22-10-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,1.0,2.0,5.0
22-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,6.0,38.0,0.0,0.0
22-12-2025,Maharashtra,Thane,400601,9.0,0.0,0.0,5.0,44.0,32.0,63.0
22-12-2025,Maharashtra,Thane,400601,9.0,0.0,0.0,5.0,44.0,32.0,63.0
23-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,15.0,31.0
23-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,15.0,28.0
23-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,15.0,28.0
23-09-2025,Maharashtra,Thane,400601,3.0,2.0,0.0,0.0,0.0,0.0,0.0
23-10-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,1.0,2.0,2.0,2.0
23-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,2.0,13.0,15.0,17.0
23-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,2.0,13.0,15.0,17.0
23-12-2025,Maharashtra,Thane,400601,6.0,0.0,0.0,3.0,42.0,0.0,0.0
24-05-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,6.0,25.0
24-06-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,6.0,45.0
24-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,12.0,39.0
24-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,7.0,13.0
24-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,7.0,13.0
24-09-2025,Maharashtra,Thane,400601,4.0,3.0,0.0,0.0,0.0,36.0,46.0
24-09-2025,Maharashtra,Thane,400601,4.0,3.0,0.0,0.0,0.0,36.0,46.0
24-10-2025,Maharashtra,Thane,400601,1.0,1.0,0.0,5.0,33.0,24.0,45.0
24-10-2025,Maharashtra,Thane,400601,1.0,1.0,0.0,5.0,33.0,24.0,45.0
24-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,40.0,40.0,97.0
24-12-2025,Maharashtra,Thane,400601,4.0,0.0,0.0,7.0,40.0,22.0,49.0
24-12-2025,Maharashtra,Thane,400601,4.0,0.0,0.0,7.0,40.0,22.0,49.0
25-05-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,5.0,17.0
25-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,7.0,31.0
25-09-2025,Maharashtra,Thane,400601,3.0,2.0,0.0,0.0,0.0,39.0,43.0
25-09-2025,Maharashtra,Thane,400601,3.0,2.0,0.0,0.0,0.0,39.0,43.0
25-10-2025,Maharashtra,Thane,400601,2.0,1.0,0.0,6.0,25.0,0.0,0.0
25-11-2025,Maharashtra,Thane,400601,13.0,2.0,0.0,5.0,48.0,31.0,59.0
25-12-2025,Maharashtra,Thane,400601,4.0,1.0,0.0,3.0,19.0,0.0,0.0
26-06-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,6.0,43.0
26-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,20.0,19.0
26-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,7.0,35.0
26-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,7.0,35.0
26-09-2025,Maharashtra,Thane,400601,2.0,2.0,0.0,0.0,0.0,38.0,60.0
26-09-2025,Maharashtra,Thane,400601,2.0,2.0,0.0,0.0,0.0,38.0,60.0
26-10-2025,Maharashtra,Thane,400601,3.0,0.0,0.0,3.0,56.0,11.0,12.0
26-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,2.0,46.0,32.0,44.0
26-12-2025,Maharashtra,Thane,400601,11.0,0.0,0.0,2.0,41.0,23.0,74.0
27-05-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,18.0,41.0
27-05-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,18.0,41.0
27-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,8.0,12.0
27-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27-09-2025,Maharashtra,Thane,400601,3.0,1.0,0.0,0.0,0.0,0.0,0.0
27-10-2025,Maharashtra,Thane,400601,3.0,0.0,0.0,4.0,27.0,46.0,48.0
27-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,4.0,38.0,31.0,62.0
27-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,4.0,38.0,31.0,62.0
27-12-2025,Maharashtra,Thane,400601,5.0,3.0,0.0,0.0,29.0,0.0,0.0
28-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,21.0,47.0
28-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,21.0,47.0
28-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,12.0,26.0
28-09-2025,Maharashtra,Thane,400601,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28-10-2025,Maharashtra,Thane,400601,2.0,1.0,0.0,5.0,31.0,36.0,62.0
28-10-2025,Maharashtra,Thane,400601,2.0,1.0,0.0,5.0,31.0,36.0,62.0
28-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,2.0,30.0,31.0,47.0
28-12-2025,Maharashtra,Thane,400601,1.0,2.0,0.0,5.0,38.0,0.0,0.0
29-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,16.0,36.0
29-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,16.0,36.0
29-09-2025,Maharashtra,Thane,400601,0.0,1.0,0.0,0.0,0.0,30.0,39.0
29-10-2025,Maharashtra,Thane,400601,2.0,0.0,0.0,3.0,52.0,40.0,55.0
29-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,39.0,0.0,0.0
29-12-2025,Maharashtra,Thane,400601,6.0,3.0,0.0,2.0,30.0,15.0,27.0
30-05-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,11.0,25.0
30-05-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,11.0,25.0
30-06-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,9.0,42.0
30-06-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,9.0,42.0
30-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,15.0,37.0
30-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,14.0,28.0
30-09-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,20.0,33.0
30-10-2025,Maharashtra,Thane,400601,14.0,2.0,0.0,2.0,43.0,0.0,0.0
30-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,3.0,13.0,1.0,0.0
30-11-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,3.0,13.0,1.0,0.0
31-05-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,14.0,34.0
31-05-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,14.0,34.0
31-07-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,28.0,48.0
31-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,0.0,8.0
31-08-2025,Maharashtra,Thane,400601,0.0,0.0,0.0,0.0,0.0,0.0,8.0
31-10-2025,Maharashtra,Thane,400601,6.0,0.0,0.0,4.0,34.0,0.0,0.0
31-12-2025,Maharashtra,Thane,400601,6.0,2.0,0.0,3.0,37.0,0.0,0.0
01-01-2026,Maharashtra,Thane,400602,2.0,0.0,1.0,0.0,9.0,12.0,14.0
01-01-2026,Maharashtra,Thane,400602,2.0,0.0,1.0,0.0,9.0,12.0,14.0
01-03-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,27.0,467.0,0.0,0.0
01-04-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,107.0,254.0
01-05-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,111.0,245.0
01-06-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01-08-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,4.0,6.0
01-09-2025,Maharashtra,Thane,400602,3.0,0.0,0.0,0.0,10.0,0.0,0.0
01-10-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,4.0,8.0
01-10-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,4.0,8.0
01-11-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,14.0,18.0,20.0
01-12-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,12.0,5.0,13.0
01-12-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,12.0,5.0,13.0
02-01-2026,Maharashtra,Thane,400602,2.0,0.0,0.0,1.0,14.0,14.0,12.0
02-06-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,4.0,15.0
02-06-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,4.0,15.0
02-07-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,2.0,11.0
02-07-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,2.0,11.0
02-09-2025,Maharashtra,Thane,400602,4.0,1.0,0.0,0.0,13.0,5.0,9.0
02-10-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,0.0,6.0
02-11-2025,Maharashtra,Thane,400602,2.0,1.0,0.0,1.0,6.0,3.0,1.0
02-11-2025,Maharashtra,Thane,400602,2.0,1.0,0.0,1.0,6.0,3.0,1.0
02-12-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,2.0,8.0,9.0,18.0
02-12-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,2.0,8.0,9.0,18.0
03-01-2026,Maharashtra,Thane,400602,0.0,0.0,0.0,1.0,3.0,3.0,1.0
03-01-2026,Maharashtra,Thane,400602,0.0,0.0,0.0,1.0,3.0,3.0,1.0
03-09-2025,Maharashtra,Thane,400602,1.0,3.0,0.0,0.0,5.0,0.0,0.0
03-10-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,5.0,8.0
03-11-2025,Maharashtra,Thane,400602,1.0,0.0,0.0,3.0,17.0,0.0,0.0
03-12-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,5.0,6.0,11.0
03-12-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,5.0,6.0,11.0
04-09-2025,Maharashtra,Thane,400602,2.0,1.0,0.0,3.0,12.0,0.0,0.0
04-10-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,11.0,9.0
04-11-2025,Maharashtra,Thane,400602,1.0,0.0,0.0,1.0,6.0,0.0,0.0
04-12-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,9.0,9.0,13.0
05-06-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,1.0,10.0
05-08-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,6.0,14.0
05-08-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,6.0,14.0
05-09-2025,Maharashtra,Thane,400602,2.0,0.0,0.0,0.0,5.0,4.0,3.0
05-09-2025,Maharashtra,Thane,400602,2.0,0.0,0.0,0.0,5.0,4.0,3.0
05-10-2025,Maharashtra,Thane,400602,0.0,0.0,0.0,0.0,0.0,0.0,2.0
05-11-2025,Maharashtra,Thane,400602,1.0,0.0,0.0,0.0,9.0,13.0,5.0
