date,state,district,pincode,bio_age_5_17,bio_age_17_
01-05-2025,Maharashtra,Thane,400601,453,851
01-05-2025,Maharashtra,Thane,400602,111,245
01-05-2025,Maharashtra,Thane,400603,164,317
01-05-2025,Maharashtra,Thane,400603,164,317
01-05-2025,Maharashtra,Thane,400604,601,1310
01-05-2025,Maharashtra,Thane,400605,494,1035
01-05-2025,Maharashtra,Thane,400607,325,611
01-05-2025,Maharashtra,Thane,400608,54,116
01-05-2025,Maharashtra,Thane,400608,54,116
01-05-2025,Maharashtra,Thane,400610,172,272
01-05-2025,Maharashtra,Thane,400610,172,272
01-05-2025,Maharashtra,Thane,400612,1612,2606
01-05-2025,Maharashtra,Thane,400614,142,217
01-05-2025,Maharashtra,Thane,400614,142,217
01-05-2025,Maharashtra,Thane,400615,226,508
01-05-2025,Maharashtra,Thane,400701,414,660
01-05-2025,Maharashtra,Thane,400703,368,439
01-05-2025,Maharashtra,Thane,400705,206,408
01-05-2025,Maharashtra,Thane,400705,206,408
01-05-2025,Maharashtra,Thane,400708,500,898
01-05-2025,Maharashtra,Thane,400709,401,603
01-05-2025,Maharashtra,Thane,400710,48,33
01-05-2025,Maharashtra,Thane,401101,387,777
01-05-2025,Maharashtra,Thane,401105,481,993
01-05-2025,Maharashtra,Thane,401105,481,993
01-05-2025,Maharashtra,Thane,401106,146,135
01-05-2025,Maharashtra,Thane,401107,1023,1831
01-05-2025,Maharashtra,Thane,401201,56,289
01-05-2025,Maharashtra,Thane,401202,32,222
01-05-2025,Maharashtra,Thane,401203,39,241
01-05-2025,Maharashtra,Thane,401204,33,146
01-05-2025,Maharashtra,Thane,401207,17,60
01-05-2025,Maharashtra,Thane,401208,58,366
01-05-2025,Maharashtra,Thane,401209,120,725
01-05-2025,Maharashtra,Thane,401301,23,61
01-05-2025,Maharashtra,Thane,401301,23,61
01-05-2025,Maharashtra,Thane,401303,96,343
01-05-2025,Maharashtra,Thane,401303,96,343
01-05-2025,Maharashtra,Thane,401305,122,431
01-05-2025,Maharashtra,Thane,401602,92,874
01-05-2025,Maharashtra,Thane,401602,92,874
01-05-2025,Maharashtra,Thane,401606,65,555
01-05-2025,Maharashtra,Thane,421001,219,443
01-05-2025,Maharashtra,Thane,421004,326,540
01-05-2025,Maharashtra,Thane,421102,85,195
01-05-2025,Maharashtra,Thane,421103,39,57
01-05-2025,Maharashtra,Thane,421201,533,1012
01-05-2025,Maharashtra,Thane,421201,533,1012
01-05-2025,Maharashtra,Thane,421203,103,206
01-05-2025,Maharashtra,Thane,421204,326,635
01-05-2025,Maharashtra,Thane,421204,326,635
01-05-2025,Maharashtra,Thane,421301,1455,2377
01-05-2025,Maharashtra,Thane,421302,1681,3300
01-05-2025,Maharashtra,Thane,421303,10,300
01-05-2025,Maharashtra,Thane,421305,387,666
01-05-2025,Maharashtra,Thane,421305,387,666
01-05-2025,Maharashtra,Thane,421306,797,1531
01-05-2025,Maharashtra,Thane,421311,133,161
01-05-2025,Maharashtra,Thane,421311,133,161
01-05-2025,Maharashtra,Thane,421401,220,496
01-05-2025,Maharashtra,Thane,421402,53,129
01-05-2025,Maharashtra,Thane,421402,53,129
01-05-2025,Maharashtra,Thane,421501,361,571
01-05-2025,Maharashtra,Thane,421503,628,1040
01-05-2025,Maharashtra,Thane,421503,628,1040
01-05-2025,Maharashtra,Thane,421505,162,216
01-05-2025,Maharashtra,Thane,421506,21,12
01-05-2025,Maharashtra,Thane,421602,180,286
01-05-2025,Maharashtra,Thane,421603,12,22
01-05-2025,Maharashtra,Thane,421605,152,244
01-05-2025,Maharashtra,Thane,421605,152,244
20-05-2025,Maharashtra,Thane,400601,25,29
20-05-2025,Maharashtra,Thane,400602,6,13
20-05-2025,Maharashtra,Thane,400603,7,10
20-05-2025,Maharashtra,Thane,400603,7,10
20-05-2025,Maharashtra,Thane,400605,30,50
20-05-2025,Maharashtra,Thane,400605,30,50
20-05-2025,Maharashtra,Thane,400606,33,43
20-05-2025,Maharashtra,Thane,400606,33,43
20-05-2025,Maharashtra,Thane,400607,20,31
20-05-2025,Maharashtra,Thane,400614,5,13
20-05-2025,Maharashtra,Thane,400614,5,13
20-05-2025,Maharashtra,Thane,400706,22,35
20-05-2025,Maharashtra,Thane,400708,28,35
20-05-2025,Maharashtra,Thane,400708,28,35
20-05-2025,Maharashtra,Thane,400709,9,34
20-05-2025,Maharashtra,Thane,400709,9,34
20-05-2025,Maharashtra,Thane,401103,0,5
20-05-2025,Maharashtra,Thane,401105,25,60
20-05-2025,Maharashtra,Thane,401105,25,60
20-05-2025,Maharashtra,Thane,401106,7,6
20-05-2025,Maharashtra,Thane,401107,55,81
20-05-2025,Maharashtra,Thane,401107,55,81
20-05-2025,Maharashtra,Thane,401201,1,13
20-05-2025,Maharashtra,Thane,401202,0,6
20-05-2025,Maharashtra,Thane,401202,0,6
20-05-2025,Maharashtra,Thane,401207,1,2
20-05-2025,Maharashtra,Thane,401207,1,2
20-05-2025,Maharashtra,Thane,401209,6,33
20-05-2025,Maharashtra,Thane,401402,0,6
20-05-2025,Maharashtra,Thane,401404,0,17
20-05-2025,Maharashtra,Thane,401404,0,17
20-05-2025,Maharashtra,Thane,401405,0,4
20-05-2025,Maharashtra,Thane,401405,0,4
20-05-2025,Maharashtra,Thane,401501,0,13
20-05-2025,Maharashtra,Thane,401501,0,13
20-05-2025,Maharashtra,Thane,401502,0,1
20-05-2025,Maharashtra,Thane,401502,0,1
20-05-2025,Maharashtra,Thane,401503,1,5
20-05-2025,Maharashtra,Thane,401504,0,1
20-05-2025,Maharashtra,Thane,401504,0,1
20-05-2025,Maharashtra,Thane,401506,1,2
20-05-2025,Maharashtra,Thane,401506,1,2
20-05-2025,Maharashtra,Thane,401601,0,4
20-05-2025,Maharashtra,Thane,401601,0,4
20-05-2025,Maharashtra,Thane,401603,0,13
20-05-2025,Maharashtra,Thane,401603,0,13
20-05-2025,Maharashtra,Thane,401604,0,7
20-05-2025,Maharashtra,Thane,401604,0,7
20-05-2025,Maharashtra,Thane,401605,0,9
20-05-2025,Maharashtra,Thane,401605,0,9
20-05-2025,Maharashtra,Thane,401607,0,31
20-05-2025,Maharashtra,Thane,401607,0,31
20-05-2025,Maharashtra,Thane,401610,0,4
20-05-2025,Maharashtra,Thane,401610,0,4
20-05-2025,Maharashtra,Thane,401703,0,2
20-05-2025,Maharashtra,Thane,401703,0,2
20-05-2025,Maharashtra,Thane,421001,9,27
20-05-2025,Maharashtra,Thane,421001,9,27
20-05-2025,Maharashtra,Thane,421003,0,1
20-05-2025,Maharashtra,Thane,421003,0,1
20-05-2025,Maharashtra,Thane,421004,9,28
20-05-2025,Maharashtra,Thane,421004,9,28
20-05-2025,Maharashtra,Thane,421005,7,17
20-05-2025,Maharashtra,Thane,421005,7,17
20-05-2025,Maharashtra,Thane,421101,0,3
20-05-2025,Maharashtra,Thane,421102,2,5
20-05-2025,Maharashtra,Thane,421102,2,5
20-05-2025,Maharashtra,Thane,421103,4,2
20-05-2025,Maharashtra,Thane,421103,4,2
20-05-2025,Maharashtra,Thane,421201,24,40
20-05-2025,Maharashtra,Thane,421201,24,40
20-05-2025,Maharashtra,Thane,421301,84,132
20-05-2025,Maharashtra,Thane,421301,84,132
20-05-2025,Maharashtra,Thane,421303,0,12
20-05-2025,Maharashtra,Thane,421303,0,12
20-05-2025,Maharashtra,Thane,421308,17,12
20-05-2025,Maharashtra,Thane,421311,3,5
20-05-2025,Maharashtra,Thane,421401,6,27
20-05-2025,Maharashtra,Thane,421401,6,27
20-05-2025,Maharashtra,Thane,421501,17,35
20-05-2025,Maharashtra,Thane,421501,17,35
20-05-2025,Maharashtra,Thane,421505,7,15
20-05-2025,Maharashtra,Thane,421602,7,14
20-05-2025,Maharashtra,Thane,421602,7,14
20-05-2025,Maharashtra,Thane,421603,0,1
20-05-2025,Maharashtra,Thane,421605,4,11
20-05-2025,Maharashtra,Thane,421605,4,11
21-05-2025,Maharashtra,Thane,400602,7,9
21-05-2025,Maharashtra,Thane,400602,7,9
21-05-2025,Maharashtra,Thane,400604,20,64
21-05-2025,Maharashtra,Thane,400604,20,64
21-05-2025,Maharashtra,Thane,400605,25,55
21-05-2025,Maharashtra,Thane,400605,25,55
21-05-2025,Maharashtra,Thane,400606,24,37
21-05-2025,Maharashtra,Thane,400607,10,27
21-05-2025,Maharashtra,Thane,400607,10,27
21-05-2025,Maharashtra,Thane,400608,3,8
21-05-2025,Maharashtra,Thane,400608,3,8
21-05-2025,Maharashtra,Thane,400612,69,136
21-05-2025,Maharashtra,Thane,400614,5,9
21-05-2025,Maharashtra,Thane,400615,15,27
21-05-2025,Maharashtra,Thane,400615,15,27
21-05-2025,Maharashtra,Thane,400701,13,34
21-05-2025,Maharashtra,Thane,400701,13,34
21-05-2025,Maharashtra,Thane,400703,11,29
21-05-2025,Maharashtra,Thane,400703,11,29
21-05-2025,Maharashtra,Thane,400705,12,14
21-05-2025,Maharashtra,Thane,400706,14,28
21-05-2025,Maharashtra,Thane,400706,14,28
21-05-2025,Maharashtra,Thane,400710,1,2
21-05-2025,Maharashtra,Thane,400710,1,2
21-05-2025,Maharashtra,Thane,401102,0,17
21-05-2025,Maharashtra,Thane,401102,0,17
21-05-2025,Maharashtra,Thane,401105,23,48
21-05-2025,Maharashtra,Thane,401106,10,8
21-05-2025,Maharashtra,Thane,401106,10,8
21-05-2025,Maharashtra,Thane,401107,34,90
21-05-2025,Maharashtra,Thane,401202,3,15
21-05-2025,Maharashtra,Thane,401202,3,15
21-05-2025,Maharashtra,Thane,401203,1,13
21-05-2025,Maharashtra,Thane,401203,1,13
21-05-2025,Maharashtra,Thane,401206,0,1
21-05-2025,Maharashtra,Thane,401208,4,16
21-05-2025,Maharashtra,Thane,401208,4,16
21-05-2025,Maharashtra,Thane,401209,8,49
21-05-2025,Maharashtra,Thane,401209,8,49
21-05-2025,Maharashtra,Thane,401301,0,3
21-05-2025,Maharashtra,Thane,401302,0,4
21-05-2025,Maharashtra,Thane,401302,0,4
21-05-2025,Maharashtra,Thane,401304,1,5
21-05-2025,Maharashtra,Thane,401305,8,24
21-05-2025,Maharashtra,Thane,401305,8,24
21-05-2025,Maharashtra,Thane,401401,0,2
21-05-2025,Maharashtra,Thane,401401,0,2
21-05-2025,Maharashtra,Thane,401402,0,2
21-05-2025,Maharashtra,Thane,401404,1,17
21-05-2025,Maharashtra,Thane,401404,1,17
21-05-2025,Maharashtra,Thane,401405,0,4
21-05-2025,Maharashtra,Thane,401501,1,17
21-05-2025,Maharashtra,Thane,401501,1,17
21-05-2025,Maharashtra,Thane,401503,0,3
21-05-2025,Maharashtra,Thane,401503,0,3
21-05-2025,Maharashtra,Thane,401601,0,4
21-05-2025,Maharashtra,Thane,401601,0,4
21-05-2025,Maharashtra,Thane,401604,0,2
21-05-2025,Maharashtra,Thane,401604,0,2
21-05-2025,Maharashtra,Thane,401605,0,7
21-05-2025,Maharashtra,Thane,401605,0,7
21-05-2025,Maharashtra,Thane,401606,3,43
21-05-2025,Maharashtra,Thane,401606,3,43
21-05-2025,Maharashtra,Thane,401607,3,29
21-05-2025,Maharashtra,Thane,401607,3,29
21-05-2025,Maharashtra,Thane,401701,0,1
21-05-2025,Maharashtra,Thane,401701,0,1
21-05-2025,Maharashtra,Thane,421001,11,16
21-05-2025,Maharashtra,Thane,421002,17,35
21-05-2025,Maharashtra,Thane,421002,17,35
21-05-2025,Maharashtra,Thane,421004,10,14
21-05-2025,Maharashtra,Thane,421101,3,2
21-05-2025,Maharashtra,Thane,421101,3,2
21-05-2025,Maharashtra,Thane,421102,0,9
21-05-2025,Maharashtra,Thane,421103,0,4
21-05-2025,Maharashtra,Thane,421201,25,53
21-05-2025,Maharashtra,Thane,421201,25,53
21-05-2025,Maharashtra,Thane,421204,12,20
21-05-2025,Maharashtra,Thane,421204,12,20
21-05-2025,Maharashtra,Thane,421301,54,104
21-05-2025,Maharashtra,Thane,421301,54,104
21-05-2025,Maharashtra,Thane,421302,79,155
21-05-2025,Maharashtra,Thane,421302,79,155
21-05-2025,Maharashtra,Thane,421303,0,22
21-05-2025,Maharashtra,Thane,421303,0,22
21-05-2025,Maharashtra,Thane,421306,46,84
21-05-2025,Maharashtra,Thane,421306,46,84
21-05-2025,Maharashtra,Thane,421308,9,19
21-05-2025,Maharashtra,Thane,421308,9,19
21-05-2025,Maharashtra,Thane,421312,0,8
21-05-2025,Maharashtra,Thane,421312,0,8
21-05-2025,Maharashtra,Thane,421401,13,29
21-05-2025,Maharashtra,Thane,421401,13,29
21-05-2025,Maharashtra,Thane,421402,5,7
21-05-2025,Maharashtra,Thane,421403,2,11
21-05-2025,Maharashtra,Thane,421403,2,11
21-05-2025,Maharashtra,Thane,421502,2,3
21-05-2025,Maharashtra,Thane,421502,2,3
21-05-2025,Maharashtra,Thane,421503,34,44
21-05-2025,Maharashtra,Thane,421503,34,44
21-05-2025,Maharashtra,Thane,421505,8,9
21-05-2025,Maharashtra,Thane,421505,8,9
21-05-2025,Maharashtra,Thane,421506,0,1
21-05-2025,Maharashtra,Thane,421602,13,16
21-05-2025,Maharashtra,Thane,421602,13,16
21-05-2025,Maharashtra,Thane,421603,0,2
21-05-2025,Maharashtra,Thane,421603,0,2
21-05-2025,Maharashtra,Thane,421604,0,2
21-05-2025,Maharashtra,Thane,421604,0,2
22-05-2025,Maharashtra,Thane,400602,4,12
22-05-2025,Maharashtra,Thane,400602,4,12
22-05-2025,Maharashtra,Thane,400605,29,30
22-05-2025,Maharashtra,Thane,400605,29,30
22-05-2025,Maharashtra,Thane,400606,17,46
22-05-2025,Maharashtra,Thane,400606,17,46
22-05-2025,Maharashtra,Thane,400607,15,21
22-05-2025,Maharashtra,Thane,400610,9,11
22-05-2025,Maharashtra,Thane,400610,9,11
22-05-2025,Maharashtra,Thane,400612,79,131
22-05-2025,Maharashtra,Thane,400615,6,25
22-05-2025,Maharashtra,Thane,400615,6,25
22-05-2025,Maharashtra,Thane,400701,14,28
22-05-2025,Maharashtra,Thane,400701,14,28
22-05-2025,Maharashtra,Thane,400703,14,10
22-05-2025,Maharashtra,Thane,400703,14,10
22-05-2025,Maharashtra,Thane,400705,4,23
22-05-2025,Maharashtra,Thane,400705,4,23
22-05-2025,Maharashtra,Thane,401101,14,48
22-05-2025,Maharashtra,Thane,401101,14,48
22-05-2025,Maharashtra,Thane,401102,0,15
22-05-2025,Maharashtra,Thane,401104,0,1
22-05-2025,Maharashtra,Thane,401104,0,1
22-05-2025,Maharashtra,Thane,401107,45,80
22-05-2025,Maharashtra,Thane,401107,45,80
22-05-2025,Maharashtra,Thane,401203,0,15
22-05-2025,Maharashtra,Thane,401203,0,15
22-05-2025,Maharashtra,Thane,401207,0,4
22-05-2025,Maharashtra,Thane,401208,4,6
22-05-2025,Maharashtra,Thane,401208,4,6
22-05-2025,Maharashtra,Thane,401209,4,29
22-05-2025,Maharashtra,Thane,401209,4,29
22-05-2025,Maharashtra,Thane,401301,1,1
22-05-2025,Maharashtra,Thane,401302,0,5
22-05-2025,Maharashtra,Thane,401302,0,5
22-05-2025,Maharashtra,Thane,401303,5,20
22-05-2025,Maharashtra,Thane,401303,5,20
22-05-2025,Maharashtra,Thane,401305,9,14
22-05-2025,Maharashtra,Thane,401402,0,2
22-05-2025,Maharashtra,Thane,401402,0,2
22-05-2025,Maharashtra,Thane,401404,1,14
22-05-2025,Maharashtra,Thane,401404,1,14
22-05-2025,Maharashtra,Thane,401405,0,1
22-05-2025,Maharashtra,Thane,401405,0,1
22-05-2025,Maharashtra,Thane,401502,0,3
22-05-2025,Maharashtra,Thane,401502,0,3
22-05-2025,Maharashtra,Thane,401503,0,2
22-05-2025,Maharashtra,Thane,401503,0,2
22-05-2025,Maharashtra,Thane,401504,0,2
22-05-2025,Maharashtra,Thane,401504,0,2
22-05-2025,Maharashtra,Thane,401506,0,2
22-05-2025,Maharashtra,Thane,401602,6,36
22-05-2025,Maharashtra,Thane,401603,0,12
22-05-2025,Maharashtra,Thane,401603,0,12
22-05-2025,Maharashtra,Thane,401606,1,30
22-05-2025,Maharashtra,Thane,401607,0,35
22-05-2025,Maharashtra,Thane,401610,0,3
22-05-2025,Maharashtra,Thane,401702,0,2
22-05-2025,Maharashtra,Thane,401702,0,2
22-05-2025,Maharashtra,Thane,401703,0,2
22-05-2025,Maharashtra,Thane,421001,13,30
22-05-2025,Maharashtra,Thane,421001,13,30
22-05-2025,Maharashtra,Thane,421002,11,31
22-05-2025,Maharashtra,Thane,421002,11,31
22-05-2025,Maharashtra,Thane,421003,0,1
22-05-2025,Maharashtra,Thane,421003,0,1
22-05-2025,Maharashtra,Thane,421005,11,17
22-05-2025,Maharashtra,Thane,421005,11,17
22-05-2025,Maharashtra,Thane,421101,6,19
22-05-2025,Maharashtra,Thane,421201,21,43
22-05-2025,Maharashtra,Thane,421201,21,43
22-05-2025,Maharashtra,Thane,421202,17,25
22-05-2025,Maharashtra,Thane,421202,17,25
22-05-2025,Maharashtra,Thane,421203,3,11
22-05-2025,Maharashtra,Thane,421203,3,11
22-05-2025,Maharashtra,Thane,421301,47,90
22-05-2025,Maharashtra,Thane,421301,47,90
22-05-2025,Maharashtra,Thane,421302,77,149
22-05-2025,Maharashtra,Thane,421302,77,149
22-05-2025,Maharashtra,Thane,421303,0,17
22-05-2025,Maharashtra,Thane,421303,0,17
22-05-2025,Maharashtra,Thane,421305,11,38
22-05-2025,Maharashtra,Thane,421308,7,14
22-05-2025,Maharashtra,Thane,421311,4,9
22-05-2025,Maharashtra,Thane,421311,4,9
22-05-2025,Maharashtra,Thane,421312,0,7
22-05-2025,Maharashtra,Thane,421312,0,7
22-05-2025,Maharashtra,Thane,421401,12,21
22-05-2025,Maharashtra,Thane,421402,2,5
22-05-2025,Maharashtra,Thane,421502,3,2
22-05-2025,Maharashtra,Thane,421502,3,2
22-05-2025,Maharashtra,Thane,421503,32,65
22-05-2025,Maharashtra,Thane,421506,0,2
22-05-2025,Maharashtra,Thane,421506,0,2
22-05-2025,Maharashtra,Thane,421601,19,28
22-05-2025,Maharashtra,Thane,421601,19,28
22-05-2025,Maharashtra,Thane,421604,0,1
22-05-2025,Maharashtra,Thane,421605,7,10
22-05-2025,Maharashtra,Thane,421605,7,10
23-05-2025,Maharashtra,Thane,400602,5,6
23-05-2025,Maharashtra,Thane,400602,5,6
23-05-2025,Maharashtra,Thane,400605,20,44
23-05-2025,Maharashtra,Thane,400612,52,137
23-05-2025,Maharashtra,Thane,400615,16,21
23-05-2025,Maharashtra,Thane,400615,16,21
23-05-2025,Maharashtra,Thane,400701,15,50
23-05-2025,Maharashtra,Thane,400706,18,39
23-05-2025,Maharashtra,Thane,400708,21,32
23-05-2025,Maharashtra,Thane,400709,13,25
23-05-2025,Maharashtra,Thane,401103,0,15
23-05-2025,Maharashtra,Thane,401105,11,39
23-05-2025,Maharashtra,Thane,401105,11,39
23-05-2025,Maharashtra,Thane,401106,7,6
23-05-2025,Maharashtra,Thane,401106,7,6
23-05-2025,Maharashtra,Thane,401107,31,90
23-05-2025,Maharashtra,Thane,401107,31,90
23-05-2025,Maharashtra,Thane,401201,4,10
23-05-2025,Maharashtra,Thane,401201,4,10
23-05-2025,Maharashtra,Thane,401202,0,18
23-05-2025,Maharashtra,Thane,401202,0,18
23-05-2025,Maharashtra,Thane,401203,4,11
23-05-2025,Maharashtra,Thane,401204,0,4
23-05-2025,Maharashtra,Thane,401206,0,1
23-05-2025,Maharashtra,Thane,401206,0,1
23-05-2025,Maharashtra,Thane,401207,0,4
23-05-2025,Maharashtra,Thane,401207,0,4
23-05-2025,Maharashtra,Thane,401301,2,2
23-05-2025,Maharashtra,Thane,401301,2,2
23-05-2025,Maharashtra,Thane,401303,1,13
23-05-2025,Maharashtra,Thane,401303,1,13
23-05-2025,Maharashtra,Thane,401304,0,1
23-05-2025,Maharashtra,Thane,401305,3,16
23-05-2025,Maharashtra,Thane,401401,0,1
23-05-2025,Maharashtra,Thane,401403,0,5
23-05-2025,Maharashtra,Thane,401403,0,5
23-05-2025,Maharashtra,Thane,401405,2,1
23-05-2025,Maharashtra,Thane,401503,0,2
23-05-2025,Maharashtra,Thane,401503,0,2
23-05-2025,Maharashtra,Thane,401504,0,1
23-05-2025,Maharashtra,Thane,401601,0,7
23-05-2025,Maharashtra,Thane,401601,0,7
23-05-2025,Maharashtra,Thane,401602,3,44
23-05-2025,Maharashtra,Thane,401603,0,16
23-05-2025,Maharashtra,Thane,401605,1,13
23-05-2025,Maharashtra,Thane,401605,1,13
23-05-2025,Maharashtra,Thane,401607,0,19
23-05-2025,Maharashtra,Thane,401701,0,1
23-05-2025,Maharashtra,Thane,401701,0,1
