date,state,district,pincode,demo_age_5_17,demo_age_17_
04-09-2025,Maharashtra,Thane,401105,3,32
04-09-2025,Maharashtra,Thane,401207,0,1
04-09-2025,Maharashtra,Thane,401302,0,1
04-09-2025,Maharashtra,Thane,401504,0,1
04-09-2025,Maharashtra,Thane,401603,0,5
04-09-2025,Maharashtra,Thane,421001,0,11
04-09-2025,Maharashtra,Thane,421102,1,20
04-09-2025,Maharashtra,Thane,421204,2,25
04-09-2025,Maharashtra,Thane,421306,9,57
04-09-2025,Maharashtra,Thane,421506,0,3
04-09-2025,Maharashtra,Thane,421603,0,1
06-09-2025,Maharashtra,Thane,400601,3,25
06-09-2025,Maharashtra,Thane,400606,2,16
06-09-2025,Maharashtra,Thane,400701,5,24
06-09-2025,Maharashtra,Thane,400703,2,24
06-09-2025,Maharashtra,Thane,400708,2,20
06-09-2025,Maharashtra,Thane,400709,2,26
06-09-2025,Maharashtra,Thane,401101,0,14
06-09-2025,Maharashtra,Thane,401203,0,12
06-09-2025,Maharashtra,Thane,401209,2,14
06-09-2025,Maharashtra,Thane,401403,0,1
06-09-2025,Maharashtra,Thane,401501,0,6
06-09-2025,Maharashtra,Thane,401605,0,3
06-09-2025,Maharashtra,Thane,401610,0,4
06-09-2025,Maharashtra,Thane,421204,4,33
06-09-2025,Maharashtra,Thane,421401,1,20
06-09-2025,Maharashtra,Thane,421402,0,4
06-09-2025,Maharashtra,Thane,421403,1,6
06-09-2025,Maharashtra,Thane,421605,0,16
05-09-2025,Maharashtra,Thane,400607,3,21
05-09-2025,Maharashtra,Thane,400612,9,54
05-09-2025,Maharashtra,Thane,400701,3,21
05-09-2025,Maharashtra,Thane,400703,0,9
05-09-2025,Maharashtra,Thane,400705,2,9
05-09-2025,Maharashtra,Thane,401101,0,14
05-09-2025,Maharashtra,Thane,401102,0,2
05-09-2025,Maharashtra,Thane,401107,7,72
05-09-2025,Maharashtra,Thane,401605,0,1
05-09-2025,Maharashtra,Thane,421306,4,28
05-09-2025,Maharashtra,Thane,421403,0,1
05-09-2025,Maharashtra,Thane,421602,0,1
07-09-2025,Maharashtra,Thane,400608,1,6
07-09-2025,Maharashtra,Thane,400614,0,2
07-09-2025,Maharashtra,Thane,401105,0,11
07-09-2025,Maharashtra,Thane,401209,0,2
07-09-2025,Maharashtra,Thane,401305,1,3
07-09-2025,Maharashtra,Thane,401501,0,2
07-09-2025,Maharashtra,Thane,421004,0,4
07-09-2025,Maharashtra,Thane,421101,0,1
07-09-2025,Maharashtra,Thane,421401,1,1
07-09-2025,Maharashtra,Thane,421501,1,10
08-09-2025,Maharashtra,Thane,400612,7,69
08-09-2025,Maharashtra,Thane,400710,1,2
08-09-2025,Maharashtra,Thane,401107,10,76
08-09-2025,Maharashtra,Thane,401202,0,9
08-09-2025,Maharashtra,Thane,401302,0,5
08-09-2025,Maharashtra,Thane,401504,0,1
08-09-2025,Maharashtra,Thane,401602,0,27
08-09-2025,Maharashtra,Thane,401607,0,4
08-09-2025,Maharashtra,Thane,401703,0,1
08-09-2025,Maharashtra,Thane,421003,0,3
08-09-2025,Maharashtra,Thane,421201,5,37
08-09-2025,Maharashtra,Thane,421202,4,32
08-09-2025,Maharashtra,Thane,421203,1,12
08-09-2025,Maharashtra,Thane,421306,11,69
08-09-2025,Maharashtra,Thane,421311,1,9
08-09-2025,Maharashtra,Thane,421403,0,10
08-09-2025,Maharashtra,Thane,421506,0,3
08-09-2025,Maharashtra,Thane,421603,0,2
09-09-2025,Maharashtra,Thane,400708,2,45
09-09-2025,Maharashtra,Thane,401105,5,42
09-09-2025,Maharashtra,Thane,401204,1,6
09-09-2025,Maharashtra,Thane,401501,0,24
09-09-2025,Maharashtra,Thane,401502,0,4
09-09-2025,Maharashtra,Thane,401503,0,2
09-09-2025,Maharashtra,Thane,401701,0,2
09-09-2025,Maharashtra,Thane,421003,0,4
09-09-2025,Maharashtra,Thane,421005,0,6
09-09-2025,Maharashtra,Thane,421101,2,6
09-09-2025,Maharashtra,Thane,421102,0,14
09-09-2025,Maharashtra,Thane,421103,0,3
09-09-2025,Maharashtra,Thane,421303,1,17
09-09-2025,Maharashtra,Thane,421305,1,36
09-09-2025,Maharashtra,Thane,421306,9,78
09-09-2025,Maharashtra,Thane,421308,0,16
09-09-2025,Maharashtra,Thane,421401,0,41
09-09-2025,Maharashtra,Thane,421501,5,41
09-09-2025,Maharashtra,Thane,421502,0,5
10-09-2025,Maharashtra,Thane,400701,5,39
10-09-2025,Maharashtra,Thane,400709,3,43
10-09-2025,Maharashtra,Thane,401305,2,14
10-09-2025,Maharashtra,Thane,401405,0,2
10-09-2025,Maharashtra,Thane,401502,0,4
10-09-2025,Maharashtra,Thane,401504,0,3
10-09-2025,Maharashtra,Thane,401602,0,27
10-09-2025,Maharashtra,Thane,401606,1,13
10-09-2025,Maharashtra,Thane,401703,0,2
10-09-2025,Maharashtra,Thane,421003,0,3
10-09-2025,Maharashtra,Thane,421203,1,12
10-09-2025,Maharashtra,Thane,421306,15,83
10-09-2025,Maharashtra,Thane,421311,1,13
10-09-2025,Maharashtra,Thane,421401,1,44
10-09-2025,Maharashtra,Thane,421403,4,13
10-09-2025,Maharashtra,Thane,421502,0,2
11-09-2025,Maharashtra,Thane,400607,1,36
11-09-2025,Maharashtra,Thane,400608,1,12
11-09-2025,Maharashtra,Thane,400615,3,31
11-09-2025,Maharashtra,Thane,400701,1,31
11-09-2025,Maharashtra,Thane,401102,0,4
11-09-2025,Maharashtra,Thane,401103,0,4
11-09-2025,Maharashtra,Thane,401104,0,2
11-09-2025,Maharashtra,Thane,401203,1,14
11-09-2025,Maharashtra,Thane,401301,0,3
11-09-2025,Maharashtra,Thane,401302,0,1
11-09-2025,Maharashtra,Thane,401404,0,7
11-09-2025,Maharashtra,Thane,401501,2,22
11-09-2025,Maharashtra,Thane,401502,1,2
11-09-2025,Maharashtra,Thane,401504,0,3
11-09-2025,Maharashtra,Thane,401602,0,20
11-09-2025,Maharashtra,Thane,401605,0,8
11-09-2025,Maharashtra,Thane,401610,0,3
11-09-2025,Maharashtra,Thane,421001,1,12
11-09-2025,Maharashtra,Thane,421002,1,15
11-09-2025,Maharashtra,Thane,421003,0,7
11-09-2025,Maharashtra,Thane,421004,2,20
11-09-2025,Maharashtra,Thane,421201,5,61
11-09-2025,Maharashtra,Thane,421202,2,36
11-09-2025,Maharashtra,Thane,421203,2,12
11-09-2025,Maharashtra,Thane,421204,1,60
11-09-2025,Maharashtra,Thane,421301,13,111
11-09-2025,Maharashtra,Thane,421303,0,13
11-09-2025,Maharashtra,Thane,421305,10,44
11-09-2025,Maharashtra,Thane,421402,0,17
11-09-2025,Maharashtra,Thane,421501,11,56
12-09-2025,Maharashtra,Thane,400706,6,23
12-09-2025,Maharashtra,Thane,401103,0,12
12-09-2025,Maharashtra,Thane,401209,2,40
12-09-2025,Maharashtra,Thane,401401,0,3
12-09-2025,Maharashtra,Thane,401601,0,3
12-09-2025,Maharashtra,Thane,421004,3,28
12-09-2025,Maharashtra,Thane,421005,2,16
12-09-2025,Maharashtra,Thane,421102,5,11
12-09-2025,Maharashtra,Thane,421202,3,27
12-09-2025,Maharashtra,Thane,421401,3,48
12-09-2025,Maharashtra,Thane,421503,6,70
12-09-2025,Maharashtra,Thane,421603,0,2
13-09-2025,Maharashtra,Thane,400602,1,9
13-09-2025,Maharashtra,Thane,400603,0,14
13-09-2025,Maharashtra,Thane,400604,5,37
13-09-2025,Maharashtra,Thane,400607,6,30
13-09-2025,Maharashtra,Thane,400708,10,44
13-09-2025,Maharashtra,Thane,401101,2,21
13-09-2025,Maharashtra,Thane,401302,0,2
13-09-2025,Maharashtra,Thane,401504,0,2
13-09-2025,Maharashtra,Thane,401607,0,1
13-09-2025,Maharashtra,Thane,401610,0,1
13-09-2025,Maharashtra,Thane,421103,1,8
13-09-2025,Maharashtra,Thane,421201,5,53
13-09-2025,Maharashtra,Thane,421202,2,20
13-09-2025,Maharashtra,Thane,421302,29,185
13-09-2025,Maharashtra,Thane,421306,7,55
13-09-2025,Maharashtra,Thane,421403,0,6
13-09-2025,Maharashtra,Thane,421501,9,51
13-09-2025,Maharashtra,Thane,421602,0,1
14-09-2025,Maharashtra,Thane,400703,2,5
14-09-2025,Maharashtra,Thane,400705,0,4
14-09-2025,Maharashtra,Thane,401102,0,1
14-09-2025,Maharashtra,Thane,401303,0,1
14-09-2025,Maharashtra,Thane,401403,0,2
14-09-2025,Maharashtra,Thane,421005,0,1
14-09-2025,Maharashtra,Thane,421203,0,7
14-09-2025,Maharashtra,Thane,421311,1,8
14-09-2025,Maharashtra,Thane,421502,0,1
14-09-2025,Maharashtra,Thane,421505,1,0
15-09-2025,Maharashtra,Thane,400606,1,22
15-09-2025,Maharashtra,Thane,400607,3,23
15-09-2025,Maharashtra,Thane,400614,0,7
15-09-2025,Maharashtra,Thane,400710,0,3
15-09-2025,Maharashtra,Thane,401102,0,10
15-09-2025,Maharashtra,Thane,401201,0,3
15-09-2025,Maharashtra,Thane,401202,0,6
15-09-2025,Maharashtra,Thane,401204,0,4
15-09-2025,Maharashtra,Thane,401301,0,2
15-09-2025,Maharashtra,Thane,401303,1,12
15-09-2025,Maharashtra,Thane,421503,13,50
15-09-2025,Maharashtra,Thane,421506,1,3
15-09-2025,Maharashtra,Thane,421601,3,36
15-09-2025,Maharashtra,Thane,421602,0,6
15-09-2025,Maharashtra,Thane,421603,0,3
17-09-2025,Maharashtra,Thane,400601,3,53
17-09-2025,Maharashtra,Thane,400614,2,15
17-09-2025,Maharashtra,Thane,400615,0,26
17-09-2025,Maharashtra,Thane,400708,3,45
17-09-2025,Maharashtra,Thane,401106,0,9
17-09-2025,Maharashtra,Thane,401303,0,19
17-09-2025,Maharashtra,Thane,401305,1,19
17-09-2025,Maharashtra,Thane,401402,1,0
17-09-2025,Maharashtra,Thane,401602,0,16
17-09-2025,Maharashtra,Thane,401605,2,4
17-09-2025,Maharashtra,Thane,421102,1,18
17-09-2025,Maharashtra,Thane,421202,0,35
17-09-2025,Maharashtra,Thane,421505,1,16
17-09-2025,Maharashtra,Thane,421601,1,35
17-09-2025,Maharashtra,Thane,421602,1,14
16-09-2025,Maharashtra,Thane,400602,1,6
16-09-2025,Maharashtra,Thane,400603,2,12
16-09-2025,Maharashtra,Thane,400606,7,37
16-09-2025,Maharashtra,Thane,400607,7,30
16-09-2025,Maharashtra,Thane,400612,34,153
16-09-2025,Maharashtra,Thane,400705,2,22
16-09-2025,Maharashtra,Thane,401104,0,2
16-09-2025,Maharashtra,Thane,401301,0,7
16-09-2025,Maharashtra,Thane,401502,0,3
16-09-2025,Maharashtra,Thane,401603,0,17
16-09-2025,Maharashtra,Thane,401606,0,13
16-09-2025,Maharashtra,Thane,421002,9,34
16-09-2025,Maharashtra,Thane,421103,1,3
16-09-2025,Maharashtra,Thane,421201,9,49
16-09-2025,Maharashtra,Thane,421202,3,35
16-09-2025,Maharashtra,Thane,421303,0,18
16-09-2025,Maharashtra,Thane,421308,0,15
16-09-2025,Maharashtra,Thane,421311,3,13
16-09-2025,Maharashtra,Thane,421605,1,23
18-09-2025,Maharashtra,Thane,400703,4,16
18-09-2025,Maharashtra,Thane,400705,0,15
18-09-2025,Maharashtra,Thane,401101,3,25
18-09-2025,Maharashtra,Thane,401603,1,15
18-09-2025,Maharashtra,Thane,401607,0,7
18-09-2025,Maharashtra,Thane,421001,0,18
18-09-2025,Maharashtra,Thane,421103,0,6
18-09-2025,Maharashtra,Thane,421302,8,128
18-09-2025,Maharashtra,Thane,421306,17,58
18-09-2025,Maharashtra,Thane,421312,0,9
18-09-2025,Maharashtra,Thane,421402,2,10
18-09-2025,Maharashtra,Thane,421506,0,2
18-09-2025,Maharashtra,Thane,421602,4,9
19-09-2025,Maharashtra,Thane,400603,0,7
19-09-2025,Maharashtra,Thane,400607,5,33
19-09-2025,Maharashtra,Thane,400614,1,9
19-09-2025,Maharashtra,Thane,400701,5,26
19-09-2025,Maharashtra,Thane,400706,3,31
19-09-2025,Maharashtra,Thane,400709,1,38
19-09-2025,Maharashtra,Thane,401104,0,2
19-09-2025,Maharashtra,Thane,401107,13,116
19-09-2025,Maharashtra,Thane,401203,0,8
19-09-2025,Maharashtra,Thane,401209,1,27
19-09-2025,Maharashtra,Thane,401301,0,1
19-09-2025,Maharashtra,Thane,401501,0,12
19-09-2025,Maharashtra,Thane,401601,0,2
19-09-2025,Maharashtra,Thane,401603,0,11
19-09-2025,Maharashtra,Thane,421203,0,14
19-09-2025,Maharashtra,Thane,421204,3,38
19-09-2025,Maharashtra,Thane,421302,15,153
19-09-2025,Maharashtra,Thane,421306,8,65
19-09-2025,Maharashtra,Thane,421402,0,15
19-09-2025,Maharashtra,Thane,421506,0,3
19-09-2025,Maharashtra,Thane,421603,0,1
20-09-2025,Maharashtra,Thane,400701,8,22
20-09-2025,Maharashtra,Thane,400709,4,35
20-09-2025,Maharashtra,Thane,401104,0,1
20-09-2025,Maharashtra,Thane,401203,0,7
20-09-2025,Maharashtra,Thane,401303,0,9
20-09-2025,Maharashtra,Thane,401404,0,7
20-09-2025,Maharashtra,Thane,401405,0,2
20-09-2025,Maharashtra,Thane,401601,0,1
20-09-2025,Maharashtra,Thane,421101,2,8
20-09-2025,Maharashtra,Thane,421304,0,1
20-09-2025,Maharashtra,Thane,421305,4,31
20-09-2025,Maharashtra,Thane,421308,1,8
20-09-2025,Maharashtra,Thane,421501,10,49
20-09-2025,Maharashtra,Thane,421506,2,2
13-10-2025,Maharashtra,Thane,400607,1,8
13-10-2025,Maharashtra,Thane,400610,0,5
13-10-2025,Maharashtra,Thane,400706,0,15
13-10-2025,Maharashtra,Thane,400710,0,1
13-10-2025,Maharashtra,Thane,401202,0,5
13-10-2025,Maharashtra,Thane,401502,0,2
13-10-2025,Maharashtra,Thane,401607,0,17
13-10-2025,Maharashtra,Thane,421002,1,12
13-10-2025,Maharashtra,Thane,421204,0,10
13-10-2025,Maharashtra,Thane,421303,0,34
13-10-2025,Maharashtra,Thane,421305,0,14
13-10-2025,Maharashtra,Thane,421403,0,24
16-10-2025,Maharashtra,Thane,400608,0,12
16-10-2025,Maharashtra,Thane,400614,2,17
16-10-2025,Maharashtra,Thane,400708,7,55
16-10-2025,Maharashtra,Thane,400709,7,49
16-10-2025,Maharashtra,Thane,401102,0,11
16-10-2025,Maharashtra,Thane,401204,1,18
16-10-2025,Maharashtra,Thane,401208,2,17
16-10-2025,Maharashtra,Thane,401401,1,5
16-10-2025,Maharashtra,Thane,401402,0,1
16-10-2025,Maharashtra,Thane,401502,0,3
16-10-2025,Maharashtra,Thane,401506,0,4
16-10-2025,Maharashtra,Thane,401601,0,3
16-10-2025,Maharashtra,Thane,401603,0,37
16-10-2025,Maharashtra,Thane,401607,0,22
16-10-2025,Maharashtra,Thane,421201,4,69
16-10-2025,Maharashtra,Thane,421204,3,86
16-10-2025,Maharashtra,Thane,421308,0,29
16-10-2025,Maharashtra,Thane,421311,2,22
16-10-2025,Maharashtra,Thane,421501,7,56
16-10-2025,Maharashtra,Thane,421505,3,27
16-10-2025,Maharashtra,Thane,421506,1,1
16-10-2025,Maharashtra,Thane,421603,0,3
15-10-2025,Maharashtra,Thane,400614,3,18
15-10-2025,Maharashtra,Thane,400615,3,31
15-10-2025,Maharashtra,Thane,400705,2,18
15-10-2025,Maharashtra,Thane,400708,5,46
15-10-2025,Maharashtra,Thane,400709,6,61
15-10-2025,Maharashtra,Thane,401106,2,9
15-10-2025,Maharashtra,Thane,401203,0,12
15-10-2025,Maharashtra,Thane,401204,0,12
15-10-2025,Maharashtra,Thane,401404,0,41
15-10-2025,Maharashtra,Thane,401604,1,62
15-10-2025,Maharashtra,Thane,401607,0,17
15-10-2025,Maharashtra,Thane,421001,3,19
15-10-2025,Maharashtra,Thane,421201,6,49
15-10-2025,Maharashtra,Thane,421503,8,96
05-11-2025,Maharashtra,Thane,401304,0,2
09-11-2025,Maharashtra,Thane,401203,1,2
13-11-2025,Maharashtra,Thane,401506,0,1
12-11-2025,Maharashtra,Thane,421304,0,1
16-11-2025,Maharashtra,Thane,401604,0,2
16-11-2025,Maharashtra,Thane,401702,0,2
18-11-2025,Maharashtra,Thane,421304,0,1
03-12-2025,Maharashtra,Thane,401206,1,2
07-12-2025,Maharashtra,Thane,401403,0,1
20-10-2025,Maharashtra,Thane,400603,0,2
20-10-2025,Maharashtra,Thane,400606,0,5
20-10-2025,Maharashtra,Thane,400708,2,20
20-10-2025,Maharashtra,Thane,401101,1,11
20-10-2025,Maharashtra,Thane,401106,3,10
20-10-2025,Maharashtra,Thane,401107,3,37
20-10-2025,Maharashtra,Thane,401204,0,2
20-10-2025,Maharashtra,Thane,401208,1,6
20-10-2025,Maharashtra,Thane,401404,1,13
20-10-2025,Maharashtra,Thane,401504,0,4
20-10-2025,Maharashtra,Thane,401603,0,18
20-10-2025,Maharashtra,Thane,421102,0,8
20-10-2025,Maharashtra,Thane,421308,3,13
20-10-2025,Maharashtra,Thane,421312,0,2
20-10-2025,Maharashtra,Thane,421403,0,34
20-10-2025,Maharashtra,Thane,421502,0,3
20-10-2025,Maharashtra,Thane,421601,2,36
20-10-2025,Maharashtra,Thane,421602,1,4
20-10-2025,Maharashtra,Thane,421604,1,2
20-10-2025,Maharashtra,Thane,421605,0,16
21-10-2025,Maharashtra,Thane,400604,2,5
21-10-2025,Maharashtra,Thane,400612,3,35
21-10-2025,Maharashtra,Thane,400701,0,3
21-10-2025,Maharashtra,Thane,400708,1,3
21-10-2025,Maharashtra,Thane,401103,0,1
21-10-2025,Maharashtra,Thane,401201,0,1
21-10-2025,Maharashtra,Thane,401404,0,2
21-10-2025,Maharashtra,Thane,401504,0,1
21-10-2025,Maharashtra,Thane,401607,0,1
21-10-2025,Maharashtra,Thane,421201,3,7
21-10-2025,Maharashtra,Thane,421202,0,11
21-10-2025,Maharashtra,Thane,421204,3,11
21-10-2025,Maharashtra,Thane,421301,3,34
21-10-2025,Maharashtra,Thane,421402,0,8
22-10-2025,Maharashtra,Thane,400604,2,4
22-10-2025,Maharashtra,Thane,400614,0,1
22-10-2025,Maharashtra,Thane,400701,0,2
22-10-2025,Maharashtra,Thane,400706,1,1
22-10-2025,Maharashtra,Thane,421001,0,1
22-10-2025,Maharashtra,Thane,421301,0,5
22-10-2025,Maharashtra,Thane,421602,0,1
23-10-2025,Maharashtra,Thane,400706,1,1
23-10-2025,Maharashtra,Thane,401602,0,1
23-10-2025,Maharashtra,Thane,421301,2,11
23-10-2025,Maharashtra,Thane,421305,2,4
23-10-2025,Maharashtra,Thane,421312,0,2
23-10-2025,Maharashtra,Thane,421502,0,1
24-10-2025,Maharashtra,Thane,400601,5,33
24-10-2025,Maharashtra,Thane,400602,2,16
24-10-2025,Maharashtra,Thane,400604,6,34
24-10-2025,Maharashtra,Thane,400710,1,5
24-10-2025,Maharashtra,Thane,401101,5,28
24-10-2025,Maharashtra,Thane,401102,0,4
24-10-2025,Maharashtra,Thane,401106,2,11
24-10-2025,Maharashtra,Thane,401304,0,1
24-10-2025,Maharashtra,Thane,401402,0,2
24-10-2025,Maharashtra,Thane,401501,1,16
24-10-2025,Maharashtra,Thane,421103,0,14
24-10-2025,Maharashtra,Thane,421301,20,126
24-10-2025,Maharashtra,Thane,421311,4,17
24-10-2025,Maharashtra,Thane,421501,3,43
24-10-2025,Maharashtra,Thane,421503,12,83
24-10-2025,Maharashtra,Thane,421602,1,7
17-10-2025,Maharashtra,Thane,400604,4,28
17-10-2025,Maharashtra,Thane,401106,1,7
17-10-2025,Maharashtra,Thane,401402,0,2
17-10-2025,Maharashtra,Thane,401602,1,19
17-10-2025,Maharashtra,Thane,401604,0,45
17-10-2025,Maharashtra,Thane,401610,0,1
17-10-2025,Maharashtra,Thane,421005,2,17
17-10-2025,Maharashtra,Thane,421203,2,8
17-10-2025,Maharashtra,Thane,421312,0,10
17-10-2025,Maharashtra,Thane,421501,2,33
17-10-2025,Maharashtra,Thane,421602,0,30
18-10-2025,Maharashtra,Thane,400605,4,38
18-10-2025,Maharashtra,Thane,400607,6,22
18-10-2025,Maharashtra,Thane,400615,4,29
18-10-2025,Maharashtra,Thane,401103,0,2
18-10-2025,Maharashtra,Thane,401209,0,18
18-10-2025,Maharashtra,Thane,401601,0,7
18-10-2025,Maharashtra,Thane,421005,0,25
18-10-2025,Maharashtra,Thane,421103,1,3
18-10-2025,Maharashtra,Thane,421312,0,16
18-10-2025,Maharashtra,Thane,421502,0,2
18-10-2025,Maharashtra,Thane,421601,7,84
26-10-2025,Maharashtra,Thane,400608,1,15
26-10-2025,Maharashtra,Thane,400710,0,1
26-10-2025,Maharashtra,Thane,401103,0,7
26-10-2025,Maharashtra,Thane,401105,4,37
26-10-2025,Maharashtra,Thane,401202,0,8
26-10-2025,Maharashtra,Thane,401203,0,7
26-10-2025,Maharashtra,Thane,401206,0,5
26-10-2025,Maharashtra,Thane,401301,0,5
26-10-2025,Maharashtra,Thane,401506,0,1
26-10-2025,Maharashtra,Thane,401605,0,28
26-10-2025,Maharashtra,Thane,401606,0,17
26-10-2025,Maharashtra,Thane,401607,0,36
26-10-2025,Maharashtra,Thane,401610,0,3
26-10-2025,Maharashtra,Thane,401702,0,1
26-10-2025,Maharashtra,Thane,421101,1,22
26-10-2025,Maharashtra,Thane,421201,4,42
26-10-2025,Maharashtra,Thane,421202,6,45
26-10-2025,Maharashtra,Thane,421203,0,14
26-10-2025,Maharashtra,Thane,421601,3,81
19-10-2025,Maharashtra,Thane,400603,0,3
19-10-2025,Maharashtra,Thane,400607,2,26
19-10-2025,Maharashtra,Thane,400708,5,25
19-10-2025,Maharashtra,Thane,401105,3,37
19-10-2025,Maharashtra,Thane,401107,12,79
19-10-2025,Maharashtra,Thane,401302,0,2
19-10-2025,Maharashtra,Thane,401401,0,1
19-10-2025,Maharashtra,Thane,401501,0,6
19-10-2025,Maharashtra,Thane,421202,1,17
19-10-2025,Maharashtra,Thane,421203,0,12
19-10-2025,Maharashtra,Thane,421601,3,44
25-10-2025,Maharashtra,Thane,400615,4,16
25-10-2025,Maharashtra,Thane,400703,1,15
25-10-2025,Maharashtra,Thane,400708,3,22
25-10-2025,Maharashtra,Thane,400709,2,19
25-10-2025,Maharashtra,Thane,401204,0,3
25-10-2025,Maharashtra,Thane,401303,0,9
25-10-2025,Maharashtra,Thane,401405,0,2
25-10-2025,Maharashtra,Thane,401605,0,12
25-10-2025,Maharashtra,Thane,401606,0,16
25-10-2025,Maharashtra,Thane,421005,1,7
25-10-2025,Maharashtra,Thane,421101,0,11
25-10-2025,Maharashtra,Thane,421204,1,26
25-10-2025,Maharashtra,Thane,421306,4,39
25-10-2025,Maharashtra,Thane,421501,1,33
25-10-2025,Maharashtra,Thane,421506,0,1
27-10-2025,Maharashtra,Thane,400606,1,15
27-10-2025,Maharashtra,Thane,400610,0,6
27-10-2025,Maharashtra,Thane,400614,0,8
27-10-2025,Maharashtra,Thane,400706,2,27
27-10-2025,Maharashtra,Thane,400708,1,22
27-10-2025,Maharashtra,Thane,401203,0,6
27-10-2025,Maharashtra,Thane,401206,0,5
27-10-2025,Maharashtra,Thane,401207,0,1
27-10-2025,Maharashtra,Thane,401209,0,16
27-10-2025,Maharashtra,Thane,401403,0,5
27-10-2025,Maharashtra,Thane,401405,0,9
27-10-2025,Maharashtra,Thane,421001,0,12
27-10-2025,Maharashtra,Thane,421204,5,29
27-10-2025,Maharashtra,Thane,421302,15,209
27-10-2025,Maharashtra,Thane,421602,0,15
28-10-2025,Maharashtra,Thane,400601,5,31
28-10-2025,Maharashtra,Thane,400604,1,41
28-10-2025,Maharashtra,Thane,400612,13,139
28-10-2025,Maharashtra,Thane,401202,0,8
28-10-2025,Maharashtra,Thane,401208,0,18
28-10-2025,Maharashtra,Thane,401302,0,1
28-10-2025,Maharashtra,Thane,401403,0,24
28-10-2025,Maharashtra,Thane,401404,0,62
28-10-2025,Maharashtra,Thane,401501,1,19
28-10-2025,Maharashtra,Thane,401504,0,5
