date,state,district,pincode,age_0_5,age_5_17,age_18_greater
05-09-2025,Maharashtra,Thane,401106,1,0,0
05-09-2025,Maharashtra,Thane,421001,0,1,0
05-09-2025,Maharashtra,Thane,421005,0,1,1
04-09-2025,Maharashtra,Thane,400706,1,0,0
04-09-2025,Maharashtra,Thane,400708,3,1,0
04-09-2025,Maharashtra,Thane,400709,5,1,0
04-09-2025,Maharashtra,Thane,401209,1,0,0
04-09-2025,Maharashtra,Thane,401303,1,0,0
04-09-2025,Maharashtra,Thane,401501,1,0,0
04-09-2025,Maharashtra,Thane,401605,1,0,0
04-09-2025,Maharashtra,Thane,421101,1,2,0
04-09-2025,Maharashtra,Thane,421505,2,2,0
04-09-2025,Maharashtra,Thane,421602,1,2,0
04-09-2025,Maharashtra,Thane,421605,4,1,0
06-09-2025,Maharashtra,Thane,400605,4,2,0
06-09-2025,Maharashtra,Thane,400614,1,0,0
06-09-2025,Maharashtra,Thane,400706,3,0,0
06-09-2025,Maharashtra,Thane,401105,2,0,0
06-09-2025,Maharashtra,Thane,401107,10,8,1
06-09-2025,Maharashtra,Thane,401404,0,1,0
06-09-2025,Maharashtra,Thane,421001,1,0,0
06-09-2025,Maharashtra,Thane,421103,1,0,0
07-09-2025,Maharashtra,Thane,400604,2,0,0
07-09-2025,Maharashtra,Thane,400615,1,1,0
07-09-2025,Maharashtra,Thane,400701,0,2,0
07-09-2025,Maharashtra,Thane,400705,1,0,0
07-09-2025,Maharashtra,Thane,400706,4,1,0
07-09-2025,Maharashtra,Thane,400708,1,1,0
07-09-2025,Maharashtra,Thane,401303,1,0,0
07-09-2025,Maharashtra,Thane,421202,1,0,0
07-09-2025,Maharashtra,Thane,421301,7,2,0
07-09-2025,Maharashtra,Thane,421305,1,1,0
07-09-2025,Maharashtra,Thane,421503,1,1,0
07-09-2025,Maharashtra,Thane,421605,1,1,0
08-09-2025,Maharashtra,Thane,400606,5,0,0
08-09-2025,Maharashtra,Thane,400614,0,1,1
08-09-2025,Maharashtra,Thane,400703,4,1,0
08-09-2025,Maharashtra,Thane,400708,2,1,0
08-09-2025,Maharashtra,Thane,401207,1,0,0
08-09-2025,Maharashtra,Thane,401305,1,1,0
08-09-2025,Maharashtra,Thane,401404,0,1,0
08-09-2025,Maharashtra,Thane,401501,2,0,0
08-09-2025,Maharashtra,Thane,421101,0,1,0
08-09-2025,Maharashtra,Thane,421102,3,0,0
08-09-2025,Maharashtra,Thane,421204,3,1,0
08-09-2025,Maharashtra,Thane,421302,19,5,0
08-09-2025,Maharashtra,Thane,421401,3,1,0
08-09-2025,Maharashtra,Thane,421402,1,0,0
08-09-2025,Maharashtra,Thane,421503,0,9,0
08-09-2025,Maharashtra,Thane,421601,7,1,0
08-09-2025,Maharashtra,Thane,421605,3,1,0
01-05-2025,Maharashtra,Thane,400601,80,30,14
09-09-2025,Maharashtra,Thane,400603,1,1,0
09-09-2025,Maharashtra,Thane,400604,4,0,0
09-09-2025,Maharashtra,Thane,400701,4,0,0
09-09-2025,Maharashtra,Thane,400703,4,0,0
09-09-2025,Maharashtra,Thane,400710,1,0,0
09-09-2025,Maharashtra,Thane,401208,1,1,0
09-09-2025,Maharashtra,Thane,401209,0,6,0
09-09-2025,Maharashtra,Thane,401301,1,0,0
09-09-2025,Maharashtra,Thane,401303,1,0,0
09-09-2025,Maharashtra,Thane,401606,1,0,0
09-09-2025,Maharashtra,Thane,401607,0,2,0
09-09-2025,Maharashtra,Thane,401702,1,0,0
09-09-2025,Maharashtra,Thane,421301,16,5,0
09-09-2025,Maharashtra,Thane,421402,2,2,0
09-09-2025,Maharashtra,Thane,421505,3,1,0
09-09-2025,Maharashtra,Thane,421601,10,7,0
09-09-2025,Maharashtra,Thane,421602,6,4,0
09-09-2025,Maharashtra,Thane,421603,1,0,0
09-09-2025,Maharashtra,Thane,421605,5,1,0
10-09-2025,Maharashtra,Thane,400606,2,2,0
10-09-2025,Maharashtra,Thane,400615,1,1,0
10-09-2025,Maharashtra,Thane,400708,5,5,0
10-09-2025,Maharashtra,Thane,401102,1,0,0
10-09-2025,Maharashtra,Thane,401105,5,2,0
10-09-2025,Maharashtra,Thane,401201,4,0,0
10-09-2025,Maharashtra,Thane,401202,2,0,0
10-09-2025,Maharashtra,Thane,401302,3,0,0
10-09-2025,Maharashtra,Thane,401404,1,0,0
10-09-2025,Maharashtra,Thane,401601,0,1,0
10-09-2025,Maharashtra,Thane,401610,1,1,0
10-09-2025,Maharashtra,Thane,421002,3,1,0
10-09-2025,Maharashtra,Thane,421201,7,7,0
10-09-2025,Maharashtra,Thane,421305,5,1,0
10-09-2025,Maharashtra,Thane,421402,5,0,0
10-09-2025,Maharashtra,Thane,421503,7,5,0
11-09-2025,Maharashtra,Thane,400703,3,1,0
11-09-2025,Maharashtra,Thane,400705,4,3,0
11-09-2025,Maharashtra,Thane,400706,5,1,0
11-09-2025,Maharashtra,Thane,400708,7,9,0
11-09-2025,Maharashtra,Thane,401105,5,0,0
11-09-2025,Maharashtra,Thane,401106,4,2,0
11-09-2025,Maharashtra,Thane,401107,8,9,0
11-09-2025,Maharashtra,Thane,401208,1,4,0
11-09-2025,Maharashtra,Thane,401305,2,0,0
11-09-2025,Maharashtra,Thane,401601,2,0,0
11-09-2025,Maharashtra,Thane,421311,0,1,0
11-09-2025,Maharashtra,Thane,421401,6,0,0
11-09-2025,Maharashtra,Thane,421605,3,3,0
14-09-2025,Maharashtra,Thane,400603,1,0,0
14-09-2025,Maharashtra,Thane,401209,0,1,0
14-09-2025,Maharashtra,Thane,401602,1,1,1
14-09-2025,Maharashtra,Thane,421305,2,3,0
14-09-2025,Maharashtra,Thane,421306,21,8,0
14-09-2025,Maharashtra,Thane,421402,1,0,0
12-09-2025,Maharashtra,Thane,400612,22,21,0
12-09-2025,Maharashtra,Thane,400701,6,4,0
12-09-2025,Maharashtra,Thane,400710,1,0,0
12-09-2025,Maharashtra,Thane,401102,0,1,0
12-09-2025,Maharashtra,Thane,401202,1,0,0
12-09-2025,Maharashtra,Thane,401404,0,2,0
12-09-2025,Maharashtra,Thane,401603,2,1,0
12-09-2025,Maharashtra,Thane,401604,0,2,0
12-09-2025,Maharashtra,Thane,401605,1,0,0
12-09-2025,Maharashtra,Thane,401606,1,0,1
12-09-2025,Maharashtra,Thane,421204,1,2,1
12-09-2025,Maharashtra,Thane,421306,14,5,0
12-09-2025,Maharashtra,Thane,421308,5,0,0
13-09-2025,Maharashtra,Thane,400606,9,1,0
13-09-2025,Maharashtra,Thane,400610,2,0,0
13-09-2025,Maharashtra,Thane,400701,7,0,0
13-09-2025,Maharashtra,Thane,400703,2,0,0
13-09-2025,Maharashtra,Thane,401103,1,0,0
13-09-2025,Maharashtra,Thane,401301,3,1,0
13-09-2025,Maharashtra,Thane,401304,1,0,0
13-09-2025,Maharashtra,Thane,401604,1,2,0
13-09-2025,Maharashtra,Thane,421003,1,2,0
13-09-2025,Maharashtra,Thane,421301,33,4,0
13-09-2025,Maharashtra,Thane,421304,0,1,0
13-09-2025,Maharashtra,Thane,421308,1,1,0
13-09-2025,Maharashtra,Thane,421503,5,7,0
13-09-2025,Maharashtra,Thane,421601,8,0,0
15-09-2025,Maharashtra,Thane,401302,1,0,0
15-09-2025,Maharashtra,Thane,401305,1,0,0
15-09-2025,Maharashtra,Thane,421102,0,2,0
15-09-2025,Maharashtra,Thane,421202,8,3,0
15-09-2025,Maharashtra,Thane,421303,0,1,0
15-09-2025,Maharashtra,Thane,421308,0,1,0
15-09-2025,Maharashtra,Thane,421312,1,0,0
15-09-2025,Maharashtra,Thane,421403,1,1,0
09-06-2025,Maharashtra,Thane,400601,6,2,0
16-09-2025,Maharashtra,Thane,400610,0,1,0
16-09-2025,Maharashtra,Thane,400614,2,0,0
16-09-2025,Maharashtra,Thane,401107,10,10,0
16-09-2025,Maharashtra,Thane,401209,2,2,0
16-09-2025,Maharashtra,Thane,401403,1,0,0
16-09-2025,Maharashtra,Thane,421003,2,0,0
16-09-2025,Maharashtra,Thane,421005,2,2,0
16-09-2025,Maharashtra,Thane,421204,5,3,0
16-09-2025,Maharashtra,Thane,421503,7,7,0
17-09-2025,Maharashtra,Thane,400602,1,0,0
17-09-2025,Maharashtra,Thane,400605,3,2,0
17-09-2025,Maharashtra,Thane,400607,3,1,0
17-09-2025,Maharashtra,Thane,400703,5,1,0
17-09-2025,Maharashtra,Thane,400706,7,3,0
17-09-2025,Maharashtra,Thane,401101,0,4,1
17-09-2025,Maharashtra,Thane,421201,10,7,0
17-09-2025,Maharashtra,Thane,421204,6,4,0
17-09-2025,Maharashtra,Thane,421301,20,13,0
17-09-2025,Maharashtra,Thane,421502,1,0,0
19-09-2025,Maharashtra,Thane,400602,1,0,0
19-09-2025,Maharashtra,Thane,400705,2,0,0
19-09-2025,Maharashtra,Thane,401305,1,1,0
19-09-2025,Maharashtra,Thane,401506,2,0,0
19-09-2025,Maharashtra,Thane,421303,2,1,0
19-09-2025,Maharashtra,Thane,421503,5,7,0
10-06-2025,Maharashtra,Thane,400601,4,1,0
18-09-2025,Maharashtra,Thane,400607,4,2,0
18-09-2025,Maharashtra,Thane,401207,1,0,0
18-09-2025,Maharashtra,Thane,401209,2,1,0
18-09-2025,Maharashtra,Thane,401301,1,0,0
18-09-2025,Maharashtra,Thane,401305,0,1,0
18-09-2025,Maharashtra,Thane,401403,2,1,0
18-09-2025,Maharashtra,Thane,401404,0,1,0
18-09-2025,Maharashtra,Thane,401605,1,1,0
18-09-2025,Maharashtra,Thane,421003,2,1,0
18-09-2025,Maharashtra,Thane,421005,5,0,0
18-09-2025,Maharashtra,Thane,421101,1,3,0
18-09-2025,Maharashtra,Thane,421201,3,3,0
18-09-2025,Maharashtra,Thane,421202,3,3,0
18-09-2025,Maharashtra,Thane,421401,18,5,0
20-09-2025,Maharashtra,Thane,400603,2,2,0
20-09-2025,Maharashtra,Thane,400604,8,2,0
20-09-2025,Maharashtra,Thane,400605,5,1,0
20-09-2025,Maharashtra,Thane,400606,2,1,0
20-09-2025,Maharashtra,Thane,400703,3,0,1
20-09-2025,Maharashtra,Thane,401101,1,1,0
20-09-2025,Maharashtra,Thane,401102,1,0,0
20-09-2025,Maharashtra,Thane,401107,26,12,1
20-09-2025,Maharashtra,Thane,401201,3,0,0
20-09-2025,Maharashtra,Thane,401602,1,2,0
20-09-2025,Maharashtra,Thane,421001,0,1,0
20-09-2025,Maharashtra,Thane,421102,4,3,0
20-09-2025,Maharashtra,Thane,421202,11,3,0
20-09-2025,Maharashtra,Thane,421301,24,5,0
20-09-2025,Maharashtra,Thane,421303,1,0,0
20-09-2025,Maharashtra,Thane,421306,7,6,0
20-09-2025,Maharashtra,Thane,421401,1,2,0
20-09-2025,Maharashtra,Thane,421503,10,5,0
20-09-2025,Maharashtra,Thane,421602,2,1,0
11-06-2025,Maharashtra,Thane,400601,10,4,0
22-09-2025,Maharashtra,Thane,400604,6,3,0
22-09-2025,Maharashtra,Thane,400610,1,1,0
22-09-2025,Maharashtra,Thane,400614,1,0,0
22-09-2025,Maharashtra,Thane,400709,3,1,0
22-09-2025,Maharashtra,Thane,401201,2,0,0
22-09-2025,Maharashtra,Thane,401404,1,2,0
22-09-2025,Maharashtra,Thane,401602,1,0,0
22-09-2025,Maharashtra,Thane,401604,2,1,0
22-09-2025,Maharashtra,Thane,421003,1,1,0
22-09-2025,Maharashtra,Thane,421306,6,4,0
22-09-2025,Maharashtra,Thane,421503,5,6,0
21-09-2025,Maharashtra,Thane,400612,3,7,0
21-09-2025,Maharashtra,Thane,400705,1,0,0
21-09-2025,Maharashtra,Thane,401107,4,3,0
21-09-2025,Maharashtra,Thane,421204,0,1,0
25-09-2025,Maharashtra,Thane,400610,1,0,0
25-09-2025,Maharashtra,Thane,400703,5,1,0
25-09-2025,Maharashtra,Thane,401202,1,0,0
25-09-2025,Maharashtra,Thane,401209,2,3,0
25-09-2025,Maharashtra,Thane,401602,4,2,0
25-09-2025,Maharashtra,Thane,421202,3,1,0
25-09-2025,Maharashtra,Thane,421301,26,9,1
25-09-2025,Maharashtra,Thane,421302,38,13,0
25-09-2025,Maharashtra,Thane,421303,1,0,0
25-09-2025,Maharashtra,Thane,421306,8,10,0
23-09-2025,Maharashtra,Thane,400606,4,0,0
23-09-2025,Maharashtra,Thane,400608,0,1,0
23-09-2025,Maharashtra,Thane,400615,4,0,0
23-09-2025,Maharashtra,Thane,401105,7,4,0
23-09-2025,Maharashtra,Thane,401204,1,0,0
23-09-2025,Maharashtra,Thane,401302,5,1,0
23-09-2025,Maharashtra,Thane,401604,1,2,0
23-09-2025,Maharashtra,Thane,421301,14,7,0
23-09-2025,Maharashtra,Thane,421311,0,1,0
23-09-2025,Maharashtra,Thane,421401,2,0,0
24-09-2025,Maharashtra,Thane,400603,2,0,0
24-09-2025,Maharashtra,Thane,400606,3,1,0
24-09-2025,Maharashtra,Thane,400607,4,0,0
24-09-2025,Maharashtra,Thane,400612,17,14,0
24-09-2025,Maharashtra,Thane,400703,2,3,0
24-09-2025,Maharashtra,Thane,400705,2,1,0
24-09-2025,Maharashtra,Thane,401209,2,0,0
24-09-2025,Maharashtra,Thane,401403,1,0,0
24-09-2025,Maharashtra,Thane,401602,3,0,0
24-09-2025,Maharashtra,Thane,401606,0,1,0
24-09-2025,Maharashtra,Thane,421005,1,0,0
24-09-2025,Maharashtra,Thane,421204,6,3,0
24-09-2025,Maharashtra,Thane,421302,32,16,0
24-09-2025,Maharashtra,Thane,421306,7,4,0
24-09-2025,Maharashtra,Thane,421401,6,2,0
24-09-2025,Maharashtra,Thane,421402,3,0,0
24-09-2025,Maharashtra,Thane,421403,1,3,0
24-09-2025,Maharashtra,Thane,421604,1,0,0
27-09-2025,Maharashtra,Thane,400614,1,0,0
27-09-2025,Maharashtra,Thane,400615,1,2,0
27-09-2025,Maharashtra,Thane,400705,2,1,0
27-09-2025,Maharashtra,Thane,400706,1,0,0
27-09-2025,Maharashtra,Thane,400709,1,2,0
27-09-2025,Maharashtra,Thane,401101,1,1,0
27-09-2025,Maharashtra,Thane,421204,0,1,0
27-09-2025,Maharashtra,Thane,421312,0,1,0
26-09-2025,Maharashtra,Thane,400602,3,0,0
26-09-2025,Maharashtra,Thane,400604,10,2,0
26-09-2025,Maharashtra,Thane,400610,2,0,0
26-09-2025,Maharashtra,Thane,400612,10,7,0
26-09-2025,Maharashtra,Thane,401105,1,1,0
26-09-2025,Maharashtra,Thane,401301,1,0,0
26-09-2025,Maharashtra,Thane,401501,3,0,0
26-09-2025,Maharashtra,Thane,421102,5,2,0
26-09-2025,Maharashtra,Thane,421202,3,4,0
26-09-2025,Maharashtra,Thane,421203,0,1,0
26-09-2025,Maharashtra,Thane,421401,6,4,0
26-09-2025,Maharashtra,Thane,421501,2,2,0
26-09-2025,Maharashtra,Thane,421505,1,0,0
26-09-2025,Maharashtra,Thane,421605,1,0,0
28-09-2025,Maharashtra,Thane,400610,1,1,0
28-09-2025,Maharashtra,Thane,400703,1,0,0
29-09-2025,Maharashtra,Thane,400602,1,0,0
29-09-2025,Maharashtra,Thane,400701,1,0,0
29-09-2025,Maharashtra,Thane,401105,1,0,0
29-09-2025,Maharashtra,Thane,421202,1,1,0
29-09-2025,Maharashtra,Thane,421204,1,0,0
29-09-2025,Maharashtra,Thane,421303,1,0,0
30-09-2025,Maharashtra,Thane,421501,0,1,0
26-10-2025,Maharashtra,Thane,400605,0,3,0
26-10-2025,Maharashtra,Thane,400607,2,0,0
26-10-2025,Maharashtra,Thane,400705,1,2,0
26-10-2025,Maharashtra,Thane,400708,1,1,0
26-10-2025,Maharashtra,Thane,401201,1,0,0
26-10-2025,Maharashtra,Thane,401209,2,0,0
26-10-2025,Maharashtra,Thane,421002,1,0,0
26-10-2025,Maharashtra,Thane,421102,1,0,0
26-10-2025,Maharashtra,Thane,421301,2,2,0
26-10-2025,Maharashtra,Thane,421306,1,2,0
26-10-2025,Maharashtra,Thane,421501,4,0,0
26-10-2025,Maharashtra,Thane,421502,1,0,0
26-10-2025,Maharashtra,Thane,421503,5,2,0
13-10-2025,Maharashtra,Thane,400602,1,0,0
13-10-2025,Maharashtra,Thane,400606,7,0,0
13-10-2025,Maharashtra,Thane,400614,1,0,0
13-10-2025,Maharashtra,Thane,400615,9,2,0
13-10-2025,Maharashtra,Thane,400703,9,1,0
13-10-2025,Maharashtra,Thane,400705,12,1,0
13-10-2025,Maharashtra,Thane,401101,3,0,0
13-10-2025,Maharashtra,Thane,401107,21,7,0
13-10-2025,Maharashtra,Thane,401203,3,1,0
13-10-2025,Maharashtra,Thane,401305,1,2,0
13-10-2025,Maharashtra,Thane,401604,2,0,0
13-10-2025,Maharashtra,Thane,421005,2,0,0
13-10-2025,Maharashtra,Thane,421203,4,4,1
13-10-2025,Maharashtra,Thane,421312,2,0,0
13-10-2025,Maharashtra,Thane,421402,2,0,0
13-10-2025,Maharashtra,Thane,421502,1,0,0
13-10-2025,Maharashtra,Thane,421506,2,0,0
13-10-2025,Maharashtra,Thane,421605,7,3,0
16-10-2025,Maharashtra,Thane,400606,1,0,0
16-10-2025,Maharashtra,Thane,400703,4,0,0
16-10-2025,Maharashtra,Thane,401104,1,0,0
16-10-2025,Maharashtra,Thane,401207,1,0,0
16-10-2025,Maharashtra,Thane,421004,3,1,0
16-10-2025,Maharashtra,Thane,421302,22,7,4
16-10-2025,Maharashtra,Thane,421305,4,1,0
16-10-2025,Maharashtra,Thane,421402,0,1,0
15-10-2025,Maharashtra,Thane,401102,1,0,0
15-10-2025,Maharashtra,Thane,401202,2,0,0
15-10-2025,Maharashtra,Thane,401401,1,0,0
15-10-2025,Maharashtra,Thane,401606,1,0,0
15-10-2025,Maharashtra,Thane,421002,4,4,1
15-10-2025,Maharashtra,Thane,421004,1,1,1
15-10-2025,Maharashtra,Thane,421302,39,8,1
15-10-2025,Maharashtra,Thane,421401,7,5,0
15-10-2025,Maharashtra,Thane,421601,3,2,0
15-10-2025,Maharashtra,Thane,421603,2,0,0
18-10-2025,Maharashtra,Thane,400705,4,2,0
18-10-2025,Maharashtra,Thane,401107,9,8,0
18-10-2025,Maharashtra,Thane,401201,2,0,0
18-10-2025,Maharashtra,Thane,401202,0,1,0
18-10-2025,Maharashtra,Thane,401208,2,0,0
18-10-2025,Maharashtra,Thane,401301,0,1,0
18-10-2025,Maharashtra,Thane,401404,1,0,0
18-10-2025,Maharashtra,Thane,401602,1,0,0
18-10-2025,Maharashtra,Thane,401607,2,0,0
18-10-2025,Maharashtra,Thane,421001,1,1,0
18-10-2025,Maharashtra,Thane,421303,1,0,0
18-10-2025,Maharashtra,Thane,421306,7,2,0
18-10-2025,Maharashtra,Thane,421402,1,0,0
18-10-2025,Maharashtra,Thane,421403,0,1,0
18-10-2025,Maharashtra,Thane,421602,2,3,0
17-10-2025,Maharashtra,Thane,400612,46,16,0
17-10-2025,Maharashtra,Thane,400615,11,0,0
17-10-2025,Maharashtra,Thane,400705,7,2,0
17-10-2025,Maharashtra,Thane,400708,13,7,0
17-10-2025,Maharashtra,Thane,401204,1,0,0
17-10-2025,Maharashtra,Thane,401303,1,0,0
17-10-2025,Maharashtra,Thane,401603,1,0,0
17-10-2025,Maharashtra,Thane,421101,2,0,0
17-10-2025,Maharashtra,Thane,421201,13,7,0
17-10-2025,Maharashtra,Thane,421204,13,5,0
17-10-2025,Maharashtra,Thane,421303,5,0,0
17-10-2025,Maharashtra,Thane,421308,7,0,0
17-10-2025,Maharashtra,Thane,421402,3,1,0
17-10-2025,Maharashtra,Thane,421502,2,0,0
17-10-2025,Maharashtra,Thane,421503,12,4,0
17-10-2025,Maharashtra,Thane,421505,11,0,0
20-10-2025,Maharashtra,Thane,400604,3,0,0
20-10-2025,Maharashtra,Thane,400607,4,0,0
20-10-2025,Maharashtra,Thane,400610,1,1,0
20-10-2025,Maharashtra,Thane,400703,1,0,0
20-10-2025,Maharashtra,Thane,400710,1,0,0
20-10-2025,Maharashtra,Thane,401202,1,0,0
20-10-2025,Maharashtra,Thane,401203,0,1,0
20-10-2025,Maharashtra,Thane,401305,1,0,0
20-10-2025,Maharashtra,Thane,401604,1,0,0
20-10-2025,Maharashtra,Thane,421004,0,1,0
20-10-2025,Maharashtra,Thane,421005,1,2,0
20-10-2025,Maharashtra,Thane,421101,0,1,0
20-10-2025,Maharashtra,Thane,421203,1,1,0
20-10-2025,Maharashtra,Thane,421204,1,1,0
20-10-2025,Maharashtra,Thane,421302,20,2,0
19-10-2025,Maharashtra,Thane,400604,7,4,0
19-10-2025,Maharashtra,Thane,400610,2,0,0
19-10-2025,Maharashtra,Thane,400614,1,0,0
19-10-2025,Maharashtra,Thane,400615,4,2,0
19-10-2025,Maharashtra,Thane,400701,10,0,0
19-10-2025,Maharashtra,Thane,401201,1,0,0
19-10-2025,Maharashtra,Thane,401202,4,0,0
19-10-2025,Maharashtra,Thane,401208,1,1,0
19-10-2025,Maharashtra,Thane,401301,2,0,0
19-10-2025,Maharashtra,Thane,401402,0,1,0
19-10-2025,Maharashtra,Thane,401601,1,0,0
19-10-2025,Maharashtra,Thane,401602,2,1,0
19-10-2025,Maharashtra,Thane,401610,1,0,0
19-10-2025,Maharashtra,Thane,421201,4,1,0
19-10-2025,Maharashtra,Thane,421301,26,4,0
19-10-2025,Maharashtra,Thane,421305,3,0,0
19-10-2025,Maharashtra,Thane,421308,5,0,0
19-10-2025,Maharashtra,Thane,421602,3,2,0
24-10-2025,Maharashtra,Thane,400606,0,1,0
24-10-2025,Maharashtra,Thane,400615,3,1,0
24-10-2025,Maharashtra,Thane,400701,1,1,0
24-10-2025,Maharashtra,Thane,400703,1,0,0
24-10-2025,Maharashtra,Thane,400708,3,2,0
24-10-2025,Maharashtra,Thane,400709,2,0,0
24-10-2025,Maharashtra,Thane,401202,1,0,0
24-10-2025,Maharashtra,Thane,401203,1,0,0
24-10-2025,Maharashtra,Thane,421005,2,1,0
24-10-2025,Maharashtra,Thane,421305,2,3,0
24-10-2025,Maharashtra,Thane,421401,1,1,0
24-10-2025,Maharashtra,Thane,421402,0,1,0
24-10-2025,Maharashtra,Thane,421505,2,1,0
21-10-2025,Maharashtra,Thane,400706,1,0,0
21-10-2025,Maharashtra,Thane,421305,1,0,0
25-10-2025,Maharashtra,Thane,400605,1,1,0
25-10-2025,Maharashtra,Thane,400705,2,1,0
25-10-2025,Maharashtra,Thane,400706,1,0,0
25-10-2025,Maharashtra,Thane,401101,1,1,0
25-10-2025,Maharashtra,Thane,401203,1,0,0
25-10-2025,Maharashtra,Thane,401302,1,0,0
25-10-2025,Maharashtra,Thane,401305,2,0,0
25-10-2025,Maharashtra,Thane,421303,0,1,0
25-10-2025,Maharashtra,Thane,421401,5,0,0
25-10-2025,Maharashtra,Thane,421503,6,0,0
25-10-2025,Maharashtra,Thane,421505,2,0,0
25-10-2025,Maharashtra,Thane,421602,1,0,0
12-06-2025,Maharashtra,Thane,400601,5,1,0
27-10-2025,Maharashtra,Thane,400709,4,1,0
27-10-2025,Maharashtra,Thane,401105,0,0,1
27-10-2025,Maharashtra,Thane,401303,1,0,0
27-10-2025,Maharashtra,Thane,401604,0,1,0
27-10-2025,Maharashtra,Thane,421306,2,1,0
27-10-2025,Maharashtra,Thane,421402,0,1,0
27-10-2025,Maharashtra,Thane,421403,1,0,0
27-10-2025,Maharashtra,Thane,421601,0,1,0
27-10-2025,Maharashtra,Thane,421605,0,1,0
28-10-2025,Maharashtra,Thane,400607,2,1,0
28-10-2025,Maharashtra,Thane,400705,2,0,0
28-10-2025,Maharashtra,Thane,400706,4,1,0
28-10-2025,Maharashtra,Thane,401106,1,0,0
28-10-2025,Maharashtra,Thane,401107,3,6,0
28-10-2025,Maharashtra,Thane,421001,1,0,0
28-10-2025,Maharashtra,Thane,421202,1,1,0
28-10-2025,Maharashtra,Thane,421308,0,0,1
28-10-2025,Maharashtra,Thane,421402,0,1,0
29-10-2025,Maharashtra,Thane,400606,3,1,0
29-10-2025,Maharashtra,Thane,400610,1,0,0
29-10-2025,Maharashtra,Thane,400615,2,2,0
29-10-2025,Maharashtra,Thane,400701,7,0,0
29-10-2025,Maharashtra,Thane,401304,1,1,0
29-10-2025,Maharashtra,Thane,401305,4,0,0
29-10-2025,Maharashtra,Thane,401501,1,0,0
29-10-2025,Maharashtra,Thane,401603,0,1,0
29-10-2025,Maharashtra,Thane,421004,0,1,0
29-10-2025,Maharashtra,Thane,421202,3,2,1
29-10-2025,Maharashtra,Thane,421402,1,0,0
29-10-2025,Maharashtra,Thane,421601,3,0,0
30-10-2025,Maharashtra,Thane,400604,19,5,0
30-10-2025,Maharashtra,Thane,400612,41,24,0
30-10-2025,Maharashtra,Thane,400615,9,2,0
30-10-2025,Maharashtra,Thane,400710,1,0,0
30-10-2025,Maharashtra,Thane,401102,2,0,0
30-10-2025,Maharashtra,Thane,401105,20,17,0
30-10-2025,Maharashtra,Thane,401106,4,2,0
30-10-2025,Maharashtra,Thane,401107,39,14,0
30-10-2025,Maharashtra,Thane,401202,4,1,0
30-10-2025,Maharashtra,Thane,401209,5,5,0
30-10-2025,Maharashtra,Thane,401305,6,0,0
30-10-2025,Maharashtra,Thane,401501,1,0,0
